band;album;song;entity;type
A bude hůř;Velitel je žena;Převrátíme svět;Pragy;location
A bude hůř;Velitel je žena;Převrátíme svět;Leonide;girl_name
A bude hůř;Velitel je žena;Skejt Dejf;Dejváč;person
A bude hůř;Velitel je žena;Skejt Dejf;Vocásků;person
A bude hůř;Velitel je žena;Skejt Dejf;U Vocásků na rohu;location
A bude hůř;Velitel je žena;Tramvaják;Death Rider;person
A bude hůř;Velitel je žena;Tramvaják;vozovny;location
A bude hůř;Velitel je žena;Tramvaják;ulici;location
A bude hůř;Velitel je žena;Tři zmrzlíci;Bonifác;person
A bude hůř;Velitel je žena;Tři zmrzlíci;Servác;person
A bude hůř;Velitel je žena;Tři zmrzlíci;Pankrác;person
A bude hůř;Velitel je žena;Vladko A Miško;Vladko;person
A bude hůř;Velitel je žena;Vladko A Miško;Miško;person
A bude hůř;Velitel je žena;Vladko A Miško;hory;location
A bude hůř;Velitel je žena;Vladko A Miško;Katka;girl_name
A bude hůř;Velitel je žena;Vladko A Miško;Jindřiško;girl_name
A bude hůř;Velitel je žena;Zkouřená Máňa;Máňa;girl_name
A bude hůř;Velitel je žena;Zkouřená Máňa;Anča;girl_name
A bude hůř;Vovar mezi uschima;Blede vize;žena;person
A bude hůř;Vovar mezi uschima;Porno On The Vlachovka;pan Voplatka;person
A bude hůř;Vovar mezi uschima;Porno On The Vlachovka;Vlachovce;location
A bude hůř;Vovar mezi uschima;Porno On The Vlachovka;paní;girl_name
A bude hůř;Vovar mezi uschima;Předvolební;náměstí;location
A bude hůř;Vovar mezi uschima;Proti Všem?;táto;person
A bude hůř;Vovar mezi uschima;Sodomie Na Vsi;Láďa;person
A bude hůř;Vovar mezi uschima;Sodomie Na Vsi;Starosta;person
A bude hůř;Vovar mezi uschima;Sodomie Na Vsi;Benga;person
A bude hůř;Vovar mezi uschima;Sodomie Na Vsi;Praha;location
A bude hůř;Vovar mezi uschima;Sodomie Na Vsi;Krčma;location
A bude hůř;Vovar mezi uschima;Sodomie Na Vsi;Sál;location
A bude hůř;Vovar mezi uschima;Sodomie Na Vsi;Máňa;girl_name
A bude hůř;Vovar mezi uschima;Světlana;Světlana;girl_name
A bude hůř;Vovar mezi uschima;Unesli Jsme Letadlo;Long Beach;location
A bude hůř;Vovar mezi uschima;Unesli Jsme Letadlo;USA;location
A bude hůř;Vovar mezi uschima;Unesli Jsme Letadlo;Kolumbie;location
A bude hůř;Vovar mezi uschima;Vlk V Ovčíně;Smokovce;location
Čertůf punk;Fucking World;Blind street;slepá ulice;location
Čertůf punk;Fucking World;Jesus is dead;Ježíš;person
Čertůf punk;Stejnej bordel;Hunky punki;Jóna potky;person
Čertůf punk;Stejnej bordel;Hunky punki;Budapešti;location
Čertůf punk;Stejnej bordel;Hunky punki;Rákosy uca;location
Čertůf punk;Stejnej bordel;Hunky punki;diófa uca;location
Čertůf punk;Stejnej bordel;Love song;rudýho města;location
Civilní Obrana;Holku pevnou mít;Holku Pevnou Mít;Adélka;girl_name
Civilní Obrana;Já, Civilka;To Dokáže Chlap;hospoda;location
Civilní Obrana;Já, Civilka;To Dokáže Chlap;garáže;location
Civilní Obrana;Já, Civilka;To Dokáže Chlap;obývák;location
Civilní Obrana;Já, Civilka;To Dokáže Chlap;domů;location
Civilní Obrana;Konkurz;Kino;kino;location
Civilní Obrana;Konkurz;Sem takovej;náměstí;location
Civilní Obrana;Konkurz;Sem takovej;zastávky;location
Civilní Obrana;Konkurz;Zvracel;Pepo;person
Civilní Obrana;Konkurz;Zvracel;hospoda;location
Civilní Obrana;Loterie;Máma;Máma;person
Civilní Obrana;Loterie;Musím jít;anděl;person
Civilní Obrana;Loterie;Musím jít;silnice;location
Civilní Obrana;Loterie;Musím jít;řeka;location
Civilní Obrana;Loterie;Všechno Nejlepší;máma;person
Civilní Obrana;Loterie;Všechno Nejlepší;táta;person
Civilní Obrana;Loterie;Všechno Nejlepší;brácha;person
Civilní Obrana;Zlatá deska;Holku Pevnou Mít;Adélky;girl_name
Civilní Obrana;Zlatá deska;Kytarová Muzika;Láďa;person
Civilní Obrana;Zlatá deska;Kytarová Muzika;Honzík;person
Civilní Obrana;Zlatá deska;Nezapomenutelná;ty;person
Civilní Obrana;Zlatá deska;Nezapomenutelná;mne;person
Civilní Obrana;Zlatá deska;S Tvojí Mámou;mámou;person
Civilní Obrana;Zlatá deska;S Tvojí Mámou;holčičkou;person
Civilní Obrana;Zlatá deska;S Tvojí Mámou;kámoška;person
Civilní Obrana;Zlatá deska;S Tvojí Mámou;dáma;person
Civilní Obrana;Zlatá deska;S Tvojí Mámou;sál;location
Civilní Obrana;Zlatá deska;S Tvojí Mámou;backstagy;location
Destroyself;4 Promile Tribut;Hrozič;satanista;person
Destroyself;4 Promile Tribut;Hrozič;ulici;location
Destroyself;4 Promile Tribut;Hrozič;kostele;location
Destroyself;4 Promile Tribut;Mikulášova pomsta;Mikuláš;person
Destroyself;4 Promile Tribut;Mikulášova pomsta;čert;person
Destroyself;4 Promile Tribut;Mikulášova pomsta;anděl;person
Destroyself;4 Promile Tribut;Mikulášova pomsta;sídlišti;location
Destroyself;4 Promile Tribut;Mikulášova pomsta;městu;location
Destroyself;4 Promile Tribut;Překvapení;Máňa;girl_name
Destroyself;4 Promile Tribut;Skřítek;skřítek;person
Destroyself;4 Promile Tribut;Skřítek;trpaslík;person
Destroyself;4 Promile Tribut;Timur;Timur;person
Destroyself;4 Promile Tribut;Timur;Kvakin;person
Destroyself;Deštivá Ulice;Deštivá ulice;Deštivá ulice;location
Destroyself;Deštivá Ulice;Dobrej Al Negro;Al Negro;person
Destroyself;Deštivá Ulice;Dobrej Al Negro;Deštivá ulice;location
Destroyself;Deštivá Ulice;Kámoši od známý zdi;Ulice;location
Destroyself;Deštivá Ulice;Mikulášova pomsta;Mikuláš;person
Destroyself;Deštivá Ulice;Mikulášova pomsta;čert;person
Destroyself;Deštivá Ulice;Mikulášova pomsta;anděl;person
Destroyself;Deštivá Ulice;Mikulášova pomsta;sídliště;location
Destroyself;Deštivá Ulice;Mikulášova pomsta;město;location
Destroyself;Deštivá Ulice;Mikulášova pomsta;ulicí;location
Destroyself;Deštivá Ulice;V hodinách mimo čas;Slečna;girl_name
Destroyself;Destroyself;Fajl ekskluzif;Královna;person
Destroyself;Destroyself;Fajl ekskluzif;Červ;person
Destroyself;Destroyself;Max II.;Max;person
Destroyself;Destroyself;Max II.;Deštivý ulici;location
Destroyself;Destroyself;Pohlednice ze Seattlu;Seattle;location
Destroyself;Destroyself;Už jdou;Jene;person
Destroyself;Kontrolujou;Oběť;Janov;person
Destroyself;Kontrolujou;Oběť;Göteborg;location
Destroyself;Kontrolujou;Oběť;Seattle;location
Destroyself;Kontrolujou;Oběť;Washington DC;location
Destroyself;Kontrolujou;Sídliště Šárka;Sídliště Šárka;location
Destroyself;Kontrolujou;Zebry;prodavačka;person
Destroyself;Kontrolujou;Zebry;Země nákupů;location
Destroyself;Kontrolujou;Zebry;parkoviště;location
Destroyself;Neosymbolic;Chlapík Bez Stínu;městem;location
Destroyself;Neosymbolic;Chlapík Se Stínem;Cháron;person
Destroyself;Neosymbolic;Včelí milovník;Marylin Monroe;girl_name
Destroyself;Terrores Magicos;Daleko;Deštivý ulice;location
Dukla Vozovna;Cvičná jízda;Dukla vozovna;Dukla Vozovna;location
Dukla Vozovna;Cvičná jízda;Dukla vozovna;Holandska;location
Dukla Vozovna;Cvičná jízda;Proč;fotr;person
Dukla Vozovna;Cvičná jízda;Proč;basák;person
Dukla Vozovna;Cvičná jízda;Proč;hospody;location
Dukla Vozovna;Cvičná jízda;Proč;podkroví;location
Dukla Vozovna;Cvičná jízda;Proč;domů;location
Dukla Vozovna;Cvičná jízda;Trumpety;Mášenka;girl_name
Dukla Vozovna;Mistři!;Bijte mě do hlavy;baru;location
Dukla Vozovna;Mistři!;HomoHory;Homolkovic;person
Dukla Vozovna;Mistři!;HomoHory;hory;location
Dukla Vozovna;Mistři!;Hospoda volá;slečna;person
Dukla Vozovna;Mistři!;Hospoda volá;číšník;person
Dukla Vozovna;Mistři!;Hospoda volá;studenty;person
Dukla Vozovna;Mistři!;Hospoda volá;hospoda;location
Dukla Vozovna;Mistři!;Hospoda volá;dům;location
Dukla Vozovna;Mistři!;Hospoda volá;hají;location
Dukla Vozovna;Mistři!;Hospoda volá;Klára;girl_name
Dukla Vozovna;Mistři!;Jako vždycky;Kuba;person
Dukla Vozovna;Mistři!;Jako vždycky;Sobkovice;location
Dukla Vozovna;Mistři!;Kovi 2;Ponorka;location
Dukla Vozovna;Mistři!;Kovi 2;Bagán;location
Dukla Vozovna;Mistři!;Minulost;písek;location
Dukla Vozovna;Mistři!;Slepice;hostinci;location
Dukla Vozovna;Mistři!;Trpaslíci;trpaslíci;person
Dukla Vozovna;Mistři!;Trpaslíci;zedníci;person
Dukla Vozovna;Mistři!;Trpaslíci;přísedící;person
Dukla Vozovna;Mistři!;Trpaslíci;ulici;location
Dukla Vozovna;Mistři!;Trpaslíci;Bílý dům;location
Dukla Vozovna;Mistři!;Veselá;Láďa;person
Dukla Vozovna;Prášek proti smrti;Dva Němci původem ze Švýcarska;Fil;person
Dukla Vozovna;Prášek proti smrti;Dva Němci původem ze Švýcarska;Švýcarska;location
Dukla Vozovna;Prášek proti smrti;Dva Němci původem ze Švýcarska;Hradní Svíce;location
Dukla Vozovna;Prášek proti smrti;Jé péčko;Jirka;person
Dukla Vozovna;Prášek proti smrti;Jé péčko;Doktor;person
Dukla Vozovna;Prášek proti smrti;Jé péčko;Jépéčko;person
Dukla Vozovna;Prášek proti smrti;Jé péčko;pan Doktor;person
Dukla Vozovna;Prášek proti smrti;Kapela;Žižkovská věž;person
Dukla Vozovna;Prášek proti smrti;Kapela;Švestka;person
Dukla Vozovna;Prášek proti smrti;Kapela;Lukáš;person
Dukla Vozovna;Prášek proti smrti;Kapela;město perníku;location
Dukla Vozovna;Prášek proti smrti;Kapela;Žižkov;location
Dukla Vozovna;Prášek proti smrti;Pulec;Jindra Hojer;person
Dukla Vozovna;Prášek proti smrti;Pulec;Doubrovka;location
Dukla Vozovna;Zastávka svět;Bílá paní;Oldo;person
Dukla Vozovna;Zastávka svět;Bílá paní;Ponorka;location
Dukla Vozovna;Zastávka svět;Disko;holka;person
Dukla Vozovna;Zastávka svět;Kufr;Sázava;location
Dukla Vozovna;Zastávka svět;Kufr;Vltava;location
Dukla Vozovna;Zastávka svět;Kytka;víla u Vilem;person
Dukla Vozovna;Zastávka svět;Kytka;Víla;girl_name
Dukla Vozovna;Zastávka svět;Ná ná ná;městem;location
Dukla Vozovna;Zastávka svět;Ná ná ná;doma;location
Dukla Vozovna;Zastávka svět;Posázaví;mistr paklíč;person
Dukla Vozovna;Zastávka svět;Posázaví;Posázaví;location
Dukla Vozovna;Zastávka svět;Skáčko;paní;person
Dukla Vozovna;Zastávka svět;Skáčko;pán;person
Dukla Vozovna;Zastávka svět;Skáčko;mladá slečna;person
Dukla Vozovna;Zastávka svět;Tak pojď dál;Ríša;person
Dukla Vozovna;Zastávka svět;Tak pojď dál;Bobem;person
Dukla Vozovna;Zastávka svět;Tak pojď dál;Redakce;location
Dukla Vozovna;Zastávka svět;Tak pojď dál;Láďa;girl_name
Dukla Vozovna;Zastávka svět;Tak pojď dál;Pavlíka;girl_name
E E;Děláme co můžem;O číhalovi;náměstí;location
E E;Děláme co můžem;O číhalovi;tramvaj;location
E E;Děláme co můžem;O číhalovi;ona;girl_name
E E;Děláme co můžem;O králi;král;person
E E;Děláme co můžem;O králi;klaun;person
E E;Děláme co můžem;O králi;gauner;person
E E;Děláme co můžem;O práci;Karhan;person
E E;Děláme co můžem;O Praze;Praha;location
E E;Děláme co můžem;O varování ministra zdravotnictví;přírodě;location
E E;Děláme co můžem;O varování ministra zdravotnictví;vody;location
E E;Děláme co můžem;O všem;hospoda;location
E E;Děláme co můžem;O ženách;byt;location
E E;Deska;Hu100bar;Emil;person
E E;Deska;Hu100bar;Hu100bar;location
E E;Deska;Humusák II;Hujer;person
E E;Deska;Humusák II;Pepík;person
E E;Deska;Humusák II;Míša;person
E E;Deska;Humusák II;Borovskýmu;location
E E;Deska;Humusák II;Pelikánům;location
E E;Deska;Mravenec;Ferda mravenec;person
E E;Deska;Mravenec;ulicí;location
E E;Deska;Mravenec;bukuvicí;location
E E;Dvacet pe!ecek + bonus;Caligula;Caligula;person
E E;Dvacet pe!ecek + bonus;Caligula;Řím;location
E E;Dvacet pe!ecek + bonus;Dělník;dělník;person
E E;Dvacet pe!ecek + bonus;Dělník;hospoda;location
E E;Dvacet pe!ecek + bonus;Dělník;fabrika;location
E E;Dvacet pe!ecek + bonus;Hujer;chlapík;person
E E;Dvacet pe!ecek + bonus;Hujer;vocase;person
E E;Dvacet pe!ecek + bonus;Humusák;město;location
E E;Dvacet pe!ecek + bonus;Humusák;bufetu;location
E E;Dvacet pe!ecek + bonus;Karel Havlíček Borovský;Karel Havlíček Borovský;person
E E;Dvacet pe!ecek + bonus;Karel Havlíček Borovský;Brixenu;location
E E;Dvacet pe!ecek + bonus;Mickey Mouse;Mickey Mouse;person
E E;Dvacet pe!ecek + bonus;Mickey Mouse;Donald;person
E E;Dvacet pe!ecek + bonus;Mickey Mouse;blázinec;location
E E;Dvacet pe!ecek + bonus;Mickey Mouse;šatlava;location
E E;Dvacet pe!ecek + bonus;Mickey Mouse;Ementál;location
E E;Dvacet pe!ecek + bonus;Míša;Míša;person
E E;Dvacet pe!ecek + bonus;Nic novýho nerozjíždět;hospoda;location
E E;Dvacet pe!ecek + bonus;O králi;král;person
E E;Dvacet pe!ecek + bonus;O králi;klaun;person
E E;Dvacet pe!ecek + bonus;O všem;hospoda;location
E E;Dvacet pe!ecek + bonus;O ženách;Robertků;person
E E;Dvacet pe!ecek + bonus;O ženách;byt;location
E E;Dvacet pe!ecek + bonus;Pepík;Pepík;person
E E;Dvacet pe!ecek + bonus;Pepík;hospoda;location
E E;Dvacet pe!ecek + bonus;Práce;fabriky;location
E E;Dvacet pe!ecek + bonus;Vláček;nadrází;location
E E;Dvacet pe!ecek + bonus;Zuby;Frantíku;person
E E;Dvacet pe!ecek + bonus;Zuby;Nanynka;girl_name
E E;E!E 0001;Kapavka;hotely;location
E E;E!E 0001;Kapavka;doktoři;location
E E;E!E 0001;Kapavka;nemocnice;location
E E;E!E 0001;Krásná holka;ulice;location
E E;E!E 0001;Krásná holka;snack-bar;location
E E;E!E 0001;Nic novýho nerozjíždět;hospoda;location
E E;E!E 0001;Tak mi dej;kina;location
E E;E!E 0001;Zuby;Frantíku;person
E E;E!E 0001;Zuby;Nanynka;girl_name
E E;Lepší už to nebude;Marila;Příbram;location
E E;Lepší už to nebude;Mravenec;Ferda;person
E E;Lepší už to nebude;Veka;ulice;location
E E;Mrtvák;Borovský;Karla Borovskýho;person
E E;Mrtvák;Borovský;Brixenu;location
E E;Mrtvák;Caligula;Caligula;person
E E;Mrtvák;Caligula;Řím;location
E E;Mrtvák;Číro;Borech;location
E E;Mrtvák;Jsem proti;Varšavský;location
E E;Mrtvák;Koš;hoši;person
E E;Mrtvák;Koš;moře;location
E E;Mrtvák;Kufříček;máma;person
E E;Mrtvák;Kufříček;synku;person
E E;Mrtvák;Kufříček;vojenský pány;person
E E;Mrtvák;Pelikáni;Pelikáni;location
E E;Mrtvák;Poslouchej;strejda;person
E E;Mrtvák;Poslouchej;máma;person
E E;Mrtvák;Tak mi dej;kino;location
Elektrïck Mann;Kokar pičkan;Fidel Castro;Fidel Castro;person
Elektrïck Mann;Kokar pičkan;Fidel Castro;Che;person
Elektrïck Mann;Kokar pičkan;Fidel Castro;Cuba;location
Elektrïck Mann;Kokar pičkan;Fidel Castro;Cubě;location
Elektrïck Mann;Kokar pičkan;Hradní Svíce;Keňa;location
Elektrïck Mann;Kokar pičkan;Igelit;feťáky;person
Elektrïck Mann;Kokar pičkan;Igelit;prvák;person
Elektrïck Mann;Kokar pičkan;Igelit;děvka;person
Elektrïck Mann;Kokar pičkan;Igelit;kurva;person
Elektrïck Mann;Kokar pičkan;Jak Si Ji šukal;Bé;person
Elektrïck Mann;Kokar pičkan;Jak Si Ji šukal;Doktor Uzel;person
Elektrïck Mann;Kokar pičkan;Jak Si Ji šukal;Ingolschtadt;location
Elektrïck Mann;Kokar pičkan;Jarcová;Jarcová;location
Elektrïck Mann;Kokar pičkan;Jdi Do Hajzlu;Žora;person
Elektrïck Mann;Kokar pičkan;Jdi Do Hajzlu;Blochyňa;person
Elektrïck Mann;Kokar pičkan;Jdi Do Hajzlu;Pepa;person
Elektrïck Mann;Kokar pičkan;Jdi Do Hajzlu;seňora;person
Elektrïck Mann;Kokar pičkan;Kokain;Numinem;person
Elektrïck Mann;Kokar pičkan;Kokain;Wojtila;person
Elektrïck Mann;Kokar pičkan;Kokain;Diego;person
Elektrïck Mann;Kokar pičkan;Kokain;Pablo Escobar;person
Elektrïck Mann;Kokar pičkan;Kokain;Oldřich Nový;person
Elektrïck Mann;Kokar pičkan;Kokain;Finsko;location
Elektrïck Mann;Kokar pičkan;Kokain;hřišti;location
Elektrïck Mann;Kokar pičkan;Kokar Pičkan;Alinka;girl_name
Elektrïck Mann;Kokar pičkan;Máma;máma;person
Elektrïck Mann;Kokar pičkan;Máma;táta;person
Elektrïck Mann;Kokar pičkan;Máma;brácha;person
Elektrïck Mann;Kokar pičkan;Máma;žena;person
Elektrïck Mann;Kokar pičkan;Na Držku Padám;Ice;person
Elektrïck Mann;Kokar pičkan;Na Držku Padám;Kromplu;location
Elektrïck Mann;Kokar pičkan;Na Držku Padám;Hodonín;location
Elektrïck Mann;Kokar pičkan;Papén;Papén;person
Elektrïck Mann;Kokar pičkan;Papén;Štruzka;person
Elektrïck Mann;Kokar pičkan;Papén;Bobina;person
Elektrïck Mann;Kokar pičkan;Papén;Nico;person
Elektrïck Mann;Kokar pičkan;Papén;Balboa;person
Elektrïck Mann;Kokar pičkan;Papén;Zhor;person
Elektrïck Mann;Kokar pičkan;Papén;Pico Dea Neto;person
Elektrïck Mann;Kokar pičkan;Papén;Bombaje;location
Elektrïck Mann;Kokar pičkan;Papén;Barcelóně;location
Elektrïck Mann;Kokar pičkan;Papén;Rumunsku;location
Elektrïck Mann;Kokar pičkan;Papén;Bulharsku;location
Elektrïck Mann;Kokar pičkan;Papén;Chorvatsku;location
Elektrïck Mann;Kokar pičkan;Papén;Jakartu;location
Elektrïck Mann;Kokar pičkan;Papén;Lyonu;location
Elektrïck Mann;Kokar pičkan;Papén;Paris;location
Elektrïck Mann;Kokar pičkan;Papén;Mont Parnest;location
Elektrïck Mann;Kokar pičkan;Papén;Pyreneje;location
Elektrïck Mann;Kundodrom;Hey Vole;Přemek;person
Elektrïck Mann;Kundodrom;Rande;Přemek;person
Elektrïck Mann;Kundodrom;Rande;Čeladná;location
Elektrïck Mann;Kundodrom;Rande;ice;girl_name
Elektrïck Mann;Kundodrom;Tik Tak;Mejla;person
Elektrïck Mann;Kundodrom;Tik Tak;sociální pracovnice;person
Elektrïck Mann;Kundodrom;Tik Tak;E55;location
Elektrïck Mann;Zhorovy Streety;Gynekolog;gynecologist;person
Elektrïck Mann;Zhorovy Streety;Jahodové Koláčky;Ice-B;person
Elektrïck Mann;Zhorovy Streety;Jožo Ráž;Jožo Ráž;person
Elektrïck Mann;Zhorovy Streety;Lezba;Valašskému Meziříčí;location
Elektrïck Mann;Zhorovy Streety;Úvod;Ice-B;person
Elektrïck Mann;Zhorovy Streety;Úvod;Valašského Meziříčí;location
Elektrïck Mann;Zhorovy Streety;Včera Jsem Byl Na Piku;Radek Koutný;person
Elektrïck Mann;Zhorovy Streety;Včera Jsem Byl Na Piku;Petr Fiala;person
Elektrïck Mann;Zhorovy Streety;Včera Jsem Byl Na Piku;pik;location
Elektrïck Mann;Zhorovy Streety;Vítá Vás Ice-B;ICE-B;person
Elektrïck Mann;Zhorovy Streety;Vítá Vás Ice-B;Pepík;person
Elektrïck Mann;Zhorovy Streety;Vítá Vás Ice-B;Josífek Včelný;person
Elektrïck Mann;Zhorovy Streety;Vítá Vás Ice-B;Dadák;person
Elektrïck Mann;Zhorovy Streety;Vítá Vás Ice-B;Břet;person
Elektrïck Mann;Zhorovy Streety;Vítá Vás Ice-B;Zhora;location
Elektrïck Mann;Zhorovy Streety;Vítá Vás Ice-B;Gábora;girl_name
Houba;...ať von zacvrč!;Bomba;doktor;person
Houba;...ať von zacvrč!;Bomba;sestřička;person
Houba;...ať von zacvrč!;Bomba;celu;location
Houba;...ať von zacvrč!;Husáke;Cypa;person
Houba;...ať von zacvrč!;Husáke;Stimchuje;person
Houba;...ať von zacvrč!;Husáke;Gotta;person
Houba;...ať von zacvrč!;Husáke;Husáka;person
Houba;...ať von zacvrč!;Husáke;Čechy;location
Houba;...ať von zacvrč!;Husáke;Husáka;girl_name
Houba;...ať von zacvrč!;Pádlo;holka na báru;person
Houba;...ať von zacvrč!;Pádlo;nádražím;location
Houba;...ať von zacvrč!;Pádlo;báru;location
Houba;...ať von zacvrč!;Pádlo;áru;location
Houba;...ať von zacvrč!;Stromy;alley;location
Houba;...ať von zacvrč!;Stromy;street;location
Houba;...ať von zacvrč!;Tady mě máš;Vilík;person
Houba;Fičící pes;Hospoda;hospoda;location
Houba;Fičící pes;Intro;Severovýchodní Čechy;location
Houba;Fičící pes;Intro;Severočeský kraj;location
Houba;Fičící pes;Konec světa;mámo;person
Houba;Fičící pes;Konec světa;Praha;location
Houba;Fičící pes;Zmrzlý auto;Mámo;person
Houba;Hnus fialovej;Intro;Severní Čechy;location
Houba;Hnus fialovej;Intro;Severočeský kraj;location
Houba;Hnus fialovej;Outro;Martíček;girl_name
Houba;Hnus fialovej;Ústí pod Labem;Ústí pod Labem;location
Houba;Hnus fialovej;Ústí pod Labem;Ústí nad Labem;location
Houba;Hnus fialovej;Ve dne, v noci;cisař;person
Houba;Hnus fialovej;Ve dne, v noci;king;person
Houba;Kuře Punk-Pao;Borec;borec;person
Houba;Kuře Punk-Pao;Borec;sportovní hvězda;person
Houba;Kuře Punk-Pao;Na měsíc na Měsíc;Armstrong Neil;person
Houba;Kuře Punk-Pao;Na měsíc na Měsíc;Měsíc;location
Houba;Kuře Punk-Pao;Na měsíc na Měsíc;Řím;location
Houba;Kuře Punk-Pao;Osud;Rusku;location
Houba;Kuře Punk-Pao;Osud;Čechách;location
Houba;Kuře Punk-Pao;Pivo piv;děd;person
Houba;Kuře Punk-Pao;Pivo piv;chlapík;person
Houba;Kuře Punk-Pao;Pivo piv;hospoda;location
Houba;Kuře Punk-Pao;Princezná;Amerika;location
Houba;Kuře Punk-Pao;Princezná;Princezná;girl_name
Houba;Kuře Punk-Pao;S ostatníma stůj;Prčic;location
Houba;Kuře Punk-Pao;Yveta;Iveta;girl_name
Houba;Kuře Punk-Pao;Yveta;Yveta;girl_name
Houba;Kuře Punk-Pao;Zoodědek;Hrdla;person
Houba;Kuře Punk-Pao;Zoodědek;Betyna;girl_name
Houba;Pan Káč;Bonus;ulici;location
Houba;Pan Káč;Bonus;lesíčka;location
Houba;Pan Káč;Kapitán;Kapitán;person
Houba;Pan Káč;Kapitán;Lesbos;location
Houba;Pan Káč;Kapitán;Athén;location
Houba;Pan Káč;Sam medvěd;Sam medvěd;person
Houba;Pan Káč;Sam medvěd;indiánka;person
Houba;Pan Káč;Sam medvěd;Los Angeles;location
Houba;Pan Káč;Sam medvěd;Tennessee;location
Houba;Pan Káč;Sam medvěd;Sam;girl_name
Houba;Pan Káč;Vekslák;Smůlek;person
Houba;Pan Káč;Vysmátý divadlo;Hurvínek;person
Houba;Pan Káč;Vysmátý divadlo;Špejbl;person
Houba;Pan Káč;Vysmátý divadlo;Žeryk;person
Houba;Pan Káč;Vysmátý divadlo;Mánička;girl_name
Houba;Pan Káč;Vysmátý divadlo;bábinka;girl_name
Houba;U Šílena Nesersrny;My to nacvičíme;Czech;location
Houba;U Šílena Nesersrny;Šašek;Šašek;person
Houba;U Šílena Nesersrny;Šašek;město;location
Hubert Macháně;Live in Reichenberg;Buzerák;Láďo;person
Hubert Macháně;Live in Reichenberg;Hubert Macháně;Macháně;person
Hubert Macháně;Live in Reichenberg;Hubert Macháně;Reichenberg;location
Hubert Macháně;Live in Reichenberg;Hubert Macháně;Túzu;location
Hubert Macháně;Live in Reichenberg;Kom zu mir for Pekarin;Pekarin;person
Hubert Macháně;Live in Reichenberg;Kom zu mir for Pekarin;Pekarin;girl_name
Hubert Macháně;Live in Reichenberg;Koplas mě šeredně pod koleno, bejby;ZOO;location
Hubert Macháně;Live in Reichenberg;Mordbiogest;Reichenberg;location
Hubert Macháně;Zazdili nám WC!!;Bílej rajón;bílý rajón;location
Hubert Macháně;Zazdili nám WC!!;Honza;Honza;person
Hubert Macháně;Zazdili nám WC!!;Hubert Macháně;Túzu;location
