band;album;song;aggregated_word;source;word;count
999;Bish! Bash! Bosh!;My Dad Trashed My Submarine;bitch;static;bitch;3
999;Bish! Bash! Bosh!;My Dad Trashed My Submarine;damn;static;damn;3
999;Bish! Bash! Bosh!;My Dad Trashed My Submarine;fuck;static;fuck;6
999;Bish! Bash! Bosh!;My Dad Trashed My Submarine;shit;static;shit;5
999;Bish! Bash! Bosh!;Psycho Man;asshole;static;ass;1
999;Bish! Bash! Bosh!;Psycho Man;damn;static;damn;2
999;Bish! Bash! Bosh!;Shoot;fuck;llm;fuck;1
999;Bish! Bash! Bosh!;Statue;bitch;static;bitch;2
999;Bish! Bash! Bosh!;Statue;shit;static;shit;2
999;Bish! Bash! Bosh!;The Midnight Express;asshole;static;pic;4
999;Bish! Bash! Bosh!;The Midnight Express;damn;static;hell;2
999;Bish! Bash! Bosh!;The Midnight Express;fuck;llm;fuck;1
999;Bish! Bash! Bosh!;The Midnight Express;shit;static;shit;2
999;Bish! Bash! Bosh!;The Pit and the Pentagon;asshole;static;ass;5
999;Concrete;Bongos on the Nile;asshole;static;ass;44
999;Concrete;Bongos on the Nile;bastard;static;bastard;3
999;Concrete;Bongos on the Nile;bitch;static;bitch;1
999;Concrete;Bongos on the Nile;damn;static;hell;11
999;Concrete;Bongos on the Nile;fuck;llm;fuck;1
999;Concrete;Bongos on the Nile;other;static;piss;3
999;Concrete;Bongos on the Nile;shit;static;crap;5
999;Concrete;Break It Up;asshole;static;dick;6
999;Concrete;Break It Up;bitch;static;bitch;3
999;Concrete;Break It Up;damn;static;damn;5
999;Concrete;Break It Up;fuck;static;fuck;3
999;Concrete;Break It Up;shit;static;shit;3
999;Concrete;Fortune Teller;asshole;static;pic;2
999;Concrete;Fortune Teller;fuck;static;fuck;2
999;Concrete;Obsessed;damn;static;damn;4
999;Concrete;Obsessed;shit;static;shit;4
999;Concrete;Public Enemy No. 1;asshole;static;ass;9
999;Concrete;Public Enemy No. 1;bastard;static;bastard;1
999;Concrete;Public Enemy No. 1;fuck;static;fuck;2
999;Concrete;Public Enemy No. 1;shit;static;shit;3
999;Concrete;Silent Anger;asshole;static;ass;1
999;Concrete;Taboo;bitch;static;bitch;2
999;Concrete;Taboo;fuck;static;fuck;3
999;Concrete;Taboo;shit;static;shit;3
999;Concrete;That’s the Way It Goes;asshole;static;ass;1
999;Concrete;That’s the Way It Goes;damn;static;hell;2
999;Concrete;That’s the Way It Goes;shit;static;shit;2
999;Death in Soho;99 Days;fuck;llm;fuck;1
999;Death in Soho;99 Days;shit;llm;shit;1
999;Death in Soho;Bomb You;bastard;static;bastard;2
999;Death in Soho;Deep Peace;asshole;static;ass;1
999;Death in Soho;Deep Peace;bitch;static;bitch;1
999;Death in Soho;Deep Peace;fuck;static;fuck;4
999;Death in Soho;Deep Peace;shit;llm;shit;1
999;Death in Soho;Gimme the World;asshole;static;ass;12
999;Death in Soho;Gimme the World;bastard;static;bastard;1
999;Death in Soho;Gimme the World;bitch;static;bitch;1
999;Death in Soho;Gimme the World;damn;static;hell;3
999;Death in Soho;Gimme the World;fuck;static;fuck;7
999;Death in Soho;Gimme the World;shit;static;shit;6
999;Death in Soho;Horror Story;asshole;static;ass;22
999;Death in Soho;Horror Story;shit;static;sra;14
999;Death in Soho;Innocent;asshole;static;pic;1
999;Death in Soho;Innocent;bitch;static;bitch;2
999;Death in Soho;Last Breath;asshole;static;pic;1
999;Death in Soho;Last Breath;other;llm;nigga;1
999;Death in Soho;Life of Crime;asshole;llm;asshole;1
999;Death in Soho;Life of Crime;bastard;llm;bastard;1
999;Death in Soho;Life of Crime;bitch;llm;bitch;1
999;Death in Soho;Life of Crime;damn;llm;damn;1
999;Death in Soho;Life of Crime;fuck;static;fuck;3
999;Death in Soho;Life of Crime;shit;static;shit;5
999;Death in Soho;The Avenue;bitch;static;bitch;4
999;Death in Soho;The Avenue;fuck;static;fuck;5
999;Death in Soho;The Avenue;shit;static;shit;3
999;Death in Soho;The System;asshole;llm;cunt;1
999;Death in Soho;The System;bitch;static;bitch;8
999;Death in Soho;The System;damn;llm;damn;1
999;Death in Soho;The System;fuck;static;fuck;5
999;Death in Soho;Too Much Money;asshole;static;ass;2
999;Death in Soho;Too Much Money;bitch;static;bitch;3
999;Death in Soho;Too Much Money;damn;llm;damn;1
999;Death in Soho;Too Much Money;fuck;static;fuck;12
999;Death in Soho;Too Much Money;shit;static;shit;7
999;Death in Soho;What Do You Know;asshole;static;ass;10
999;Death in Soho;What Do You Know;bitch;static;bitch;2
999;Death in Soho;What Do You Know;damn;static;damn;6
999;Death in Soho;What Do You Know;fuck;static;fuck;17
999;Death in Soho;What Do You Know;shit;static;shit;10
999;Face to Face;20 Years;bitch;static;bitch;1
999;Face to Face;20 Years;damn;static;damn;3
999;Face to Face;20 Years;fuck;static;fuck;3
999;Face to Face;20 Years;other;static;piss;1
999;Face to Face;20 Years;shit;static;shit;2
999;Face to Face;Dancing in the Wrong Shoes;asshole;static;ass;5
999;Face to Face;Dancing in the Wrong Shoes;bitch;static;bitch;38
999;Face to Face;Dancing in the Wrong Shoes;damn;static;damn;8
999;Face to Face;Dancing in the Wrong Shoes;fuck;static;fuck;26
999;Face to Face;Dancing in the Wrong Shoes;other;static;piss;1
999;Face to Face;Dancing in the Wrong Shoes;shit;static;shit;20
999;Face to Face;I Can't Face It;bitch;static;bitch;2
999;Face to Face;I Can't Face It;fuck;static;fuck;3
999;Face to Face;I Can't Face It;shit;static;shit;1
999;Face to Face;Lucy Dead;asshole;static;dick;4
999;Face to Face;Lucy Dead;bitch;static;bitch;24
999;Face to Face;Lucy Dead;damn;static;damn;7
999;Face to Face;Lucy Dead;fuck;static;fuck;28
999;Face to Face;Lucy Dead;shit;static;shit;4
999;Face to Face;Spiritual Independence;asshole;static;ass;9
999;Face to Face;Spiritual Independence;fuck;static;fuck;2
999;Face to Face;This Is Just a Lie;asshole;static;ass;3
999;Face to Face;Vicious Circle;asshole;static;ass;8
999;Face to Face;Walk in the Meadow;asshole;static;ass;1
999;Face to Face;Walk in the Meadow;bitch;static;bitch;5
999;Face to Face;Walk in the Meadow;damn;static;damn;12
999;Face to Face;Walk in the Meadow;fuck;static;fuck;7
999;Face to Face;Walk in the Meadow;shit;static;shit;2
999;Gray Areas;Big Wake;asshole;static;ass;1
999;Gray Areas;Big Wake;fuck;llm;fuck;1
999;Gray Areas;Big Wake;shit;static;shit;2
999;Gray Areas;Cherries From Space;asshole;static;ass;6
999;Gray Areas;Cherries From Space;bastard;llm;bastard;1
999;Gray Areas;Cherries From Space;bitch;static;bitch;9
999;Gray Areas;Cherries From Space;damn;static;damn;6
999;Gray Areas;Cherries From Space;fuck;static;fuck;29
999;Gray Areas;Cherries From Space;shit;static;shit;25
999;Gray Areas;Gray or Grey;asshole;static;ass;1
999;Gray Areas;Palm Trees;asshole;static;ass;2
999;Gray Areas;Palm Trees;bitch;static;bitch;5
999;Gray Areas;Palm Trees;damn;static;damn;2
999;Gray Areas;Palm Trees;fuck;static;fuck;4
999;Gray Areas;Palm Trees;shit;static;shit;3
999;Gray Areas;Ponderin' Minutes;asshole;static;ass;98
999;Gray Areas;Ponderin' Minutes;bastard;static;bastard;3
999;Gray Areas;Ponderin' Minutes;bitch;static;bitch;3
999;Gray Areas;Ponderin' Minutes;damn;static;hell;12
999;Gray Areas;Ponderin' Minutes;fuck;static;fuck;33
999;Gray Areas;Ponderin' Minutes;shit;static;shit;13
999;Gray Areas;Tequila Talks;asshole;static;ass;18
999;Gray Areas;Tequila Talks;bastard;static;bastard;2
999;Gray Areas;Tequila Talks;bitch;static;bitch;4
999;Gray Areas;Tequila Talks;damn;static;hell;8
999;Gray Areas;Tequila Talks;fuck;static;fuck;6
999;Gray Areas;Tequila Talks;other;static;piss;1
999;Gray Areas;Tequila Talks;shit;static;shit;4
999;High Energy Plan;Brightest View;asshole;static;ass;2
999;High Energy Plan;Feeling Alright With the Crew;asshole;static;ass;84
999;High Energy Plan;Feeling Alright With the Crew;bitch;static;bitch;9
999;High Energy Plan;Feeling Alright With the Crew;damn;static;damn;15
999;High Energy Plan;Feeling Alright With the Crew;fuck;static;fuck;17
999;High Energy Plan;Feeling Alright With the Crew;other;static;piss;2
999;High Energy Plan;Feeling Alright With the Crew;shit;static;shit;8
999;High Energy Plan;Waiting;asshole;static;ass;1
999;High Energy Plan;Waiting;bitch;static;bitch;4
999;High Energy Plan;Waiting;damn;static;hell;4
999;High Energy Plan;Waiting;fuck;static;fuck;5
999;High Energy Plan;Waiting;shit;static;shit;1
999;High Energy Plan;Wolf;shit;llm;shit;1
999;Separates;Brightest View;asshole;static;ass;2
999;Separates;Feelin' Alright With The Crew;damn;static;hell;2
999;Separates;Wolf;damn;llm;damn;1
999;Separates;Wolf;shit;llm;shit;1
999;Takeover;Damp With Tears;asshole;static;ass;1
999;Takeover;Damp With Tears;bitch;static;bitch;2
999;Takeover;Damp With Tears;damn;static;damn;3
999;Takeover;Damp With Tears;fuck;static;fuck;6
999;Takeover;Damp With Tears;shit;static;shit;7
999;Takeover;Edge of the World;asshole;static;ass;33
999;Takeover;Edge of the World;damn;static;hell;11
999;Takeover;Edge of the World;fuck;llm;fuck;1
999;Takeover;Edge of the World;shit;llm;shit;1
999;Takeover;Headcase;asshole;static;pic;1
999;Takeover;Headcase;fuck;static;fuck;2
999;Takeover;I Can't Wait;fuck;static;fuck;5
999;Takeover;Jam Me Up (With Something Nice);asshole;static;ass;2
999;Takeover;Jam Me Up (With Something Nice);fuck;llm;fuck;1
999;Takeover;No Prisoners;asshole;static;pic;1
999;Takeover;No Prisoners;fuck;static;fuck;2
999;Takeover;No Prisoners;shit;static;shit;2
999;Takeover;Out of Our Heads;asshole;static;ass;4
999;Takeover;Out of Our Heads;bitch;static;bitch;1
999;Takeover;Out of Our Heads;damn;static;hell;5
999;Takeover;Out of Our Heads;shit;static;sra;1
999;Takeover;Really Like You;damn;static;damn;2
999;Takeover;Really Like You;fuck;static;fuck;2
999;Takeover;Salvage Mission;asshole;static;ass;5
999;Takeover;Salvage Mission;bitch;static;bitch;1
999;Takeover;Salvage Mission;damn;static;hell;3
999;Takeover;Salvage Mission;fuck;static;fuck;3
999;Takeover;Salvage Mission;shit;static;shit;2
999;Takeover;Split Personality;bitch;llm;bitch;1
999;Takeover;Split Personality;damn;llm;damn;1
999;Takeover;Split Personality;fuck;static;fuck;6
999;Takeover;Split Personality;shit;llm;shit;1
999;Takeover;Takeover;asshole;static;pic;2
999;Takeover;Takeover;bitch;static;bitch;16
999;Takeover;Takeover;damn;static;damn;4
999;Takeover;Takeover;fuck;static;fuck;12
999;Takeover;Takeover;shit;static;shit;7
999;The Biggest Prize in Sport;Boiler;asshole;static;ass;1
999;The Biggest Prize in Sport;English Wipeout;damn;static;hell;2
999;The Biggest Prize in Sport;Hollywood;asshole;llm;asshole;1
999;The Biggest Prize in Sport;Hollywood;bitch;static;bitch;4
999;The Biggest Prize in Sport;Hollywood;fuck;llm;fuck;1
999;The Biggest Prize in Sport;Hollywood;shit;llm;shit;1
999;The Biggest Prize in Sport;So Long;fuck;static;fuck;2
999;The Biggest Prize in Sport;So Long;shit;static;shit;3
999;The Biggest Prize in Sport;Stranger;asshole;static;pic;2
999;The Biggest Prize in Sport;Stranger;bitch;static;bitch;5
999;The Biggest Prize in Sport;Stranger;damn;static;damn;2
999;The Biggest Prize in Sport;Stranger;fuck;static;fuck;4
999;The Biggest Prize in Sport;Stranger;shit;llm;shit;1
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Boiler;asshole;static;ass;1
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Boys in the Gang (live);asshole;llm;asshole;1
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Boys in the Gang (live);bitch;static;bitch;8
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Boys in the Gang (live);damn;llm;damn;1
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Boys in the Gang (live);fuck;static;fuck;12
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Boys in the Gang (live);shit;static;shit;10
999;The Biggest Tour in Sport / The Biggest Prize in Sport;English Wipeout;damn;static;hell;2
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Feelin' Alright With the Crew (live);asshole;static;dick;2
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Feelin' Alright With the Crew (live);fuck;static;fuck;2
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Feelin' Alright With the Crew (live);shit;static;shit;6
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Found Out Too Late;asshole;static;ass;4
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Found Out Too Late;bastard;llm;bastard;1
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Found Out Too Late;bitch;static;bitch;13
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Found Out Too Late;damn;static;hell;5
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Found Out Too Late;fuck;static;fuck;23
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Found Out Too Late;other;static;piss;7
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Found Out Too Late;shit;static;shit;7
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Hollywood;bitch;static;bitch;4
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Homicide (live);asshole;static;ass;67
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Homicide (live);bastard;static;bastard;3
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Homicide (live);bitch;static;bitch;134
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Homicide (live);damn;static;damn;35
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Homicide (live);fuck;static;fuck;138
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Homicide (live);other;static;piss;2
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Homicide (live);shit;static;shit;162
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Made a Fool of You;bitch;static;bitch;2
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Made a Fool of You;damn;static;hell;2
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Made a Fool of You;fuck;static;fuck;2
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Made a Fool of You;other;static;piss;1
999;The Biggest Tour in Sport / The Biggest Prize in Sport;So Long;fuck;static;fuck;2
999;The Biggest Tour in Sport / The Biggest Prize in Sport;So Long;shit;static;shit;4
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Stranger;asshole;static;pic;1
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Stranger;bitch;static;bitch;4
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Stranger;damn;static;damn;1
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Stranger;fuck;static;fuck;3
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Titanic (My Over) Reaction (live);asshole;static;ass;95
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Titanic (My Over) Reaction (live);bastard;static;bastard;2
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Titanic (My Over) Reaction (live);damn;static;damn;1
999;The Biggest Tour in Sport / The Biggest Prize in Sport;Titanic (My Over) Reaction (live);shit;static;crap;2
999;You Us It!;(There Is No Glory In) Mary's Story;asshole;static;ass;7
999;You Us It!;All of the Days;asshole;static;ass;4
999;You Us It!;All of the Days;shit;static;shit;2
999;You Us It!;Big Fast Car;bitch;static;bitch;5
999;You Us It!;Black Flowers for the Bride;asshole;static;ass;1
999;You Us It!;Black Flowers for the Bride;damn;static;hell;1
999;You Us It!;Black Flowers for the Bride;fuck;static;fuck;2
999;You Us It!;Crazy Crazy Crazy;bitch;static;bitch;2
999;You Us It!;Crazy Crazy Crazy;damn;static;hell;2
999;You Us It!;Crazy Crazy Crazy;fuck;llm;fuck;1
999;You Us It!;Crazy Crazy Crazy;shit;llm;shit;1
999;You Us It!;Deep in the Shadow;bitch;static;bitch;12
999;You Us It!;Deep in the Shadow;damn;static;hell;6
999;You Us It!;Deep in the Shadow;fuck;static;fuck;11
999;You Us It!;Don't Tell Me;fuck;static;fuck;2
999;You Us It!;Don't Tell Me;shit;static;shit;1
999;You Us It!;Everybody Needs It;asshole;static;ass;1
999;You Us It!;Everybody Needs It;fuck;static;fuck;3
999;You Us It!;It's Over Now;asshole;static;ass;4
999;You Us It!;It's Over Now;damn;llm;damn;1
999;You Us It!;It's Over Now;fuck;llm;fuck;1
999;You Us It!;It's Over Now;shit;llm;shit;1
999;You Us It!;Run for Your Life;asshole;static;ass;1
999;You Us It!;Run for Your Life;bitch;static;bitch;1
999;You Us It!;Run for Your Life;damn;static;hell;5
999;You Us It!;Run for Your Life;fuck;llm;fuck;1
999;You Us It!;Run for Your Life;other;static;piss;1
999;You Us It!;Run for Your Life;shit;static;shit;9
999;You Us It!;Signed Dangerous of Hollywood;asshole;static;ass;47
999;You Us It!;Signed Dangerous of Hollywood;bitch;static;bitch;1
999;You Us It!;Signed Dangerous of Hollywood;damn;static;damn;5
999;You Us It!;Signed Dangerous of Hollywood;fuck;llm;fuck;1
999;You Us It!;Signed Dangerous of Hollywood;shit;static;crap;3
999;You Us It!;White Light;asshole;static;pic;1
999;You Us It!;White Light;damn;static;hell;3
999;You Us It!;White Light;fuck;static;fuck;3
999;You Us It!;White Light;shit;static;shit;4
A bude hůř;Basket;Sex před zraky krista;fuck;llm;fuck;1
A bude hůř;Basket;Sněhurka;fuck;llm;fuck;1
A bude hůř;Kdo chce zapalovat, musí sám hořet;Múza s podlomeným zdravím;asshole;static;pic;1
A bude hůř;Kdo chce zapalovat, musí sám hořet;Múza s podlomeným zdravím;shit;static;shit;2
A bude hůř;Kdo chce zapalovat, musí sám hořet;Nech si ty klíny;other;llm;držku;1
A bude hůř;Kdo chce zapalovat, musí sám hořet;Očistcem;shit;static;sra;3
A bude hůř;Kdo chce zapalovat, musí sám hořet;Paintball;bitch;static;svin;1
A bude hůř;Kopry!;Bez práce;fuck;llm;fuck;1
A bude hůř;Kopry!;Bez práce;shit;llm;shit;1
A bude hůř;Kopry!;Blede vize;bitch;static;kráv;1
A bude hůř;Kopry!;Blede vize;shit;static;sra;2
A bude hůř;Kopry!;Bílá myš;asshole;static;prdel;5
A bude hůř;Kopry!;Co je láska;bastard;llm;bastard;1
A bude hůř;Kopry!;Co je láska;fuck;llm;fuck;1
A bude hůř;Kopry!;Co je láska;shit;llm;shit;1
A bude hůř;Kopry!;Mráz;asshole;static;ass;15
A bude hůř;Kopry!;Nechci Tě líbat;bitch;static;svin;3
A bude hůř;Kopry!;Nechci Tě líbat;fuck;llm;fuck;1
A bude hůř;Kopry!;Popadni sekeru;asshole;static;prdel;4
A bude hůř;Kopry!;Popadni sekeru;bitch;static;svin;2
A bude hůř;Kopry!;Popadni sekeru;fuck;llm;fuck;1
A bude hůř;Kopry!;Posázavský Pacifik;asshole;llm;asshole;1
A bude hůř;Kopry!;Posázavský Pacifik;bastard;llm;bastard;1
A bude hůř;Kopry!;Posázavský Pacifik;bitch;static;svin;2
A bude hůř;Kopry!;Posázavský Pacifik;damn;llm;damn;1
A bude hůř;Kopry!;Posázavský Pacifik;fuck;llm;fuck;1
A bude hůř;Kopry!;Posázavský Pacifik;shit;llm;shit;1
A bude hůř;Kopry!;Vyznání;asshole;static;prdel;2
A bude hůř;Kopry!;Vyznání;bitch;llm;bitch;1
A bude hůř;Kopry!;Vyznání;fuck;static;fuck;2
A bude hůř;Kopry!;Vyznání;shit;llm;shit;1
A bude hůř;Kopry!;Óda na radost;asshole;static;prdel;5
A bude hůř;Kopry!;Óda na radost;damn;llm;hell;1
A bude hůř;Kopry!;Óda na radost;shit;static;sra;10
A bude hůř;Strana B;Problitý Století;asshole;static;hajzl;1
A bude hůř;Strana B;Problitý Století;bastard;llm;bastard;1
A bude hůř;Strana B;Problitý Století;damn;llm;hell;1
A bude hůř;Strana B;Problitý Století;fuck;llm;fuck;1
A bude hůř;Strana B;Problitý Století;shit;static;sra;2
A bude hůř;Velitel je žena;Báseň o Jelitmanu;asshole;llm;piče;1
A bude hůř;Velitel je žena;Jamajka Lajka;other;llm;kuráž;1
A bude hůř;Velitel je žena;Pod jezevčí skálou;fuck;static;kurv;2
A bude hůř;Velitel je žena;Popsong;fuck;static;zmrd;4
A bude hůř;Velitel je žena;Pětikačka;asshole;static;hajzl;1
A bude hůř;Velitel je žena;Pětikačka;bitch;static;svin;1
A bude hůř;Velitel je žena;Pětikačka;damn;llm;damn;1
A bude hůř;Velitel je žena;Pětikačka;fuck;static;kurv;2
A bude hůř;Velitel je žena;Pětikačka;shit;llm;shit;1
A bude hůř;Velitel je žena;Ryby;asshole;static;prdel;7
A bude hůř;Velitel je žena;Tramvaják;damn;llm;zatraceně;1
A bude hůř;Velitel je žena;Tři zmrzlíci;asshole;static;pic;2
A bude hůř;Velitel je žena;Tři zmrzlíci;bitch;static;kráv;2
A bude hůř;Velitel je žena;Tři zmrzlíci;shit;static;sra;2
A bude hůř;Velitel je žena;Vladko A Miško;asshole;static;kokot;2
A bude hůř;Velitel je žena;Zkouřená Máňa;bitch;static;kráv;2
A bude hůř;Velitel je žena;Zkouřená Máňa;fuck;llm;fuck;1
A bude hůř;Velitel je žena;Zkouřená Máňa;shit;llm;shit;1
A bude hůř;Velitel je žena;Život Je Fajn;asshole;llm;řit;1
A bude hůř;Vovar mezi uschima;Bez práce;fuck;llm;fuck;1
A bude hůř;Vovar mezi uschima;Blede vize;bitch;static;kráv;1
A bude hůř;Vovar mezi uschima;Blede vize;idiot;llm;vůl;1
A bude hůř;Vovar mezi uschima;Blede vize;shit;static;sra;2
A bude hůř;Vovar mezi uschima;Po sté zas;other;llm;rouhám;1
A bude hůř;Vovar mezi uschima;Porno On The Vlachovka;shit;llm;shit;1
A bude hůř;Vovar mezi uschima;Proti Všem?;idiot;llm;blbej;1
A bude hůř;Vovar mezi uschima;Sledujeme TV;asshole;static;pic;4
A bude hůř;Vovar mezi uschima;Sledujeme TV;damn;llm;hell;1
A bude hůř;Vovar mezi uschima;Sledujeme TV;shit;llm;shit;1
A bude hůř;Vovar mezi uschima;Sodomie Na Vsi;asshole;static;pic;1
A bude hůř;Vovar mezi uschima;Sodomie Na Vsi;fuck;llm;fuck;1
A bude hůř;Vovar mezi uschima;Unesli Jsme Letadlo;fuck;llm;fuck;1
A bude hůř;Vovar mezi uschima;Vlk V Ovčíně;fuck;static;kurv;2
A bude hůř;Vovar mezi uschima;Za Minimální Peníz Jak Zvětšit Si Svůj Penis;fuck;llm;fuck;1
A bude hůř;Vovar mezi uschima;Za Minimální Peníz Jak Zvětšit Si Svůj Penis;shit;llm;shit;1
Alien Sex Fiend;Acid Bath;Attack!!!!!! #2;shit;static;shit;4
Alien Sex Fiend;Acid Bath;Break Down and Cry (Lay Down and Die - Goodbye);asshole;static;ass;2
Alien Sex Fiend;Acid Bath;E.S.T. (Trip to the Moon);damn;llm;damn;1
Alien Sex Fiend;Acid Bath;In God We Trust (In Cars You Rust?);asshole;llm;arsehole;1
Alien Sex Fiend;Acid Bath;She's a Killer;damn;llm;hell;1
Alien Sex Fiend;Another Planet;Another Planet;bastard;static;bastard;2
Alien Sex Fiend;Another Planet;Everybody's Dream;asshole;static;ass;47
Alien Sex Fiend;Another Planet;Everybody's Dream;damn;static;damn;1
Alien Sex Fiend;Another Planet;Instant Kama Sutra;asshole;static;ass;29
Alien Sex Fiend;Another Planet;Instant Kama Sutra;bastard;static;bastard;2
Alien Sex Fiend;Another Planet;Instant Kama Sutra;bitch;static;bitch;11
Alien Sex Fiend;Another Planet;Instant Kama Sutra;damn;static;hell;13
Alien Sex Fiend;Another Planet;Instant Kama Sutra;fuck;static;fuck;25
Alien Sex Fiend;Another Planet;Instant Kama Sutra;shit;static;shit;29
Alien Sex Fiend;Another Planet;Nightmare Zone;violence;llm;bloody;1
Alien Sex Fiend;Another Planet;Outer Limits;asshole;static;dick;12
Alien Sex Fiend;Another Planet;Outer Limits;bastard;llm;bastard;1
Alien Sex Fiend;Another Planet;Outer Limits;damn;llm;damn;1
Alien Sex Fiend;Another Planet;Outer Limits;fuck;static;fuck;8
Alien Sex Fiend;Another Planet;Outer Limits;shit;static;shit;4
Alien Sex Fiend;Another Planet;Radiant City;asshole;static;ass;29
Alien Sex Fiend;Another Planet;Radiant City;damn;static;hell;3
Alien Sex Fiend;Another Planet;Radiant City;shit;static;sra;4
Alien Sex Fiend;Another Planet;Sample My Sausage;asshole;static;ass;18
