band;album;song;source;word;count
A bude hůř;Strana B;Problitý Století;llm;shit;
A bude hůř;Strana B;Problitý Století;llm;bastard;
A bude hůř;Strana B;Problitý Století;llm;hell;
A bude hůř;Velitel je žena;Báseň o Jelitmanu;llm;piče;
A bude hůř;Velitel je žena;Jamajka Lajka;llm;kuráž;
A bude hůř;Velitel je žena;Pětikačka;static;kurv;1
A bude hůř;Velitel je žena;Pětikačka;static;hajzl;1
A bude hůř;Velitel je žena;Pětikačka;static;prdel;1
A bude hůř;Velitel je žena;Pětikačka;static;svin;1
A bude hůř;Velitel je žena;Pětikačka;llm;fuck;
A bude hůř;Velitel je žena;Pětikačka;llm;shit;
A bude hůř;Velitel je žena;Pětikačka;llm;damn;
A bude hůř;Velitel je žena;Pod jezevčí skálou;static;kurv;1
A bude hůř;Velitel je žena;Pod jezevčí skálou;llm;kurva;
A bude hůř;Velitel je žena;Popsong;static;zmrd;2
A bude hůř;Velitel je žena;Popsong;static;kurv;1
A bude hůř;Velitel je žena;Popsong;llm;kurva;
A bude hůř;Velitel je žena;Ryby;static;prdel;6
A bude hůř;Velitel je žena;Ryby;llm;vprdeli;
A bude hůř;Velitel je žena;Tramvaják;llm;zatraceně;
A bude hůř;Velitel je žena;Tři zmrzlíci;static;sra;1
A bude hůř;Velitel je žena;Tři zmrzlíci;static;kráv;1
A bude hůř;Velitel je žena;Tři zmrzlíci;static;pic;2
A bude hůř;Velitel je žena;Tři zmrzlíci;llm;shit;
A bude hůř;Velitel je žena;Tři zmrzlíci;llm;bitch;
A bude hůř;Velitel je žena;Vladko A Miško;static;kokot;1
A bude hůř;Velitel je žena;Vladko A Miško;llm;kokotov;
A bude hůř;Velitel je žena;Život Je Fajn;llm;řit;
A bude hůř;Velitel je žena;Zkouřená Máňa;static;kráv;2
A bude hůř;Velitel je žena;Zkouřená Máňa;llm;fuck;
A bude hůř;Velitel je žena;Zkouřená Máňa;llm;shit;
A bude hůř;Vovar mezi uschima;Bez práce;llm;fuck;
A bude hůř;Vovar mezi uschima;Blede vize;static;kráv;1
A bude hůř;Vovar mezi uschima;Blede vize;static;sra;1
A bude hůř;Vovar mezi uschima;Blede vize;llm;vůl;
A bude hůř;Vovar mezi uschima;Blede vize;llm;nasrat;
A bude hůř;Vovar mezi uschima;Po sté zas;llm;rouhám;
A bude hůř;Vovar mezi uschima;Porno On The Vlachovka;llm;shit;
A bude hůř;Vovar mezi uschima;Proti Všem?;llm;blbej;
A bude hůř;Vovar mezi uschima;Sledujeme TV;static;pic;2
A bude hůř;Vovar mezi uschima;Sledujeme TV;static;prdel;1
A bude hůř;Vovar mezi uschima;Sledujeme TV;llm;shit;
A bude hůř;Vovar mezi uschima;Sledujeme TV;llm;asshole;
A bude hůř;Vovar mezi uschima;Sledujeme TV;llm;hell;
A bude hůř;Vovar mezi uschima;Sodomie Na Vsi;static;pic;1
A bude hůř;Vovar mezi uschima;Sodomie Na Vsi;llm;fuck;
A bude hůř;Vovar mezi uschima;Unesli Jsme Letadlo;llm;fuck;
A bude hůř;Vovar mezi uschima;Vlk V Ovčíně;static;kurv;1
A bude hůř;Vovar mezi uschima;Vlk V Ovčíně;llm;kurva;
A bude hůř;Vovar mezi uschima;Za Minimální Peníz Jak Zvětšit Si Svůj Penis;llm;fuck;
A bude hůř;Vovar mezi uschima;Za Minimální Peníz Jak Zvětšit Si Svůj Penis;llm;shit;
Čertůf punk;Fucking World;Blind street;llm;fuck;
Čertůf punk;Fucking World;Blind street;llm;shit;
Čertůf punk;Fucking World;Brutal world;llm;fuck;
Čertůf punk;Fucking World;Fucking Country;static;hajzl;1
Čertůf punk;Fucking World;Fucking Country;llm;fuck;
Čertůf punk;Fucking World;Jesus is dead;llm;fuck;
Čertůf punk;Fucking World;Loutka;static;debil;1
Čertůf punk;Fucking World;Loutka;static;svin;1
Čertůf punk;Fucking World;Loutka;llm;fuck;
Čertůf punk;Fucking World;Parlament;static;svin;4
Čertůf punk;Fucking World;Parlament;static;sra;1
Čertůf punk;Fucking World;Parlament;llm;fuck;
Čertůf punk;Fucking World;Parlament;llm;shit;
Čertůf punk;Fucking World;Parlament;llm;asshole;
Čertůf punk;Fucking World;Parlament;llm;damn;
Čertůf punk;Fucking World;Parlament;llm;hell;
Čertůf punk;Fucking World;Parlament;llm;crap;
Čertůf punk;Fucking World;Stupid army dream;static;svin;1
Čertůf punk;Fucking World;Stupid army dream;llm;fuck;
Čertůf punk;Fucking World;Válka;llm;fuck;
Čertůf punk;Fucking World;Varieté;llm;shit;
Čertůf punk;Fucking World;Volby;static;fuck;1
Čertůf punk;Fucking World;Volby;static;svin;2
Čertůf punk;Fucking World;Volby;llm;fuck;
Čertůf punk;No Future;Co ti zbylo;static;hovn;1
Čertůf punk;No Future;Co ti zbylo;llm;hovno;
Čertůf punk;No Future;Hovno v hlavě;static;hovn;2
Čertůf punk;No Future;Hovno v hlavě;static;sra;1
Čertůf punk;No Future;Hovno v hlavě;llm;shit;
Čertůf punk;No Future;Hovno v hlavě;llm;cunt;
Čertůf punk;No Future;Máš strach;llm;fuck;
Čertůf punk;No Future;Máš strach;llm;shit;
Čertůf punk;No Future;Na řetězu;static;sra;1
Čertůf punk;No Future;Na řetězu;static;hajzl;1
Čertůf punk;No Future;Na řetězu;llm;shit;
Čertůf punk;No Future;Na řetězu;llm;bastard;
Čertůf punk;No Future;Na řetězu;llm;damn;
Čertůf punk;No Future;No future;llm;damn;
Čertůf punk;No Future;No future;llm;hell;
Čertůf punk;No Future;Police song;static;debil;1
Čertůf punk;No Future;Police song;static;svin;1
Čertůf punk;No Future;Police song;llm;shit;
Čertůf punk;No Future;Politika;llm;fuck;
Čertůf punk;No Future;Politika;llm;shit;
Čertůf punk;No Future;Politika;llm;damn;
Čertůf punk;No Future;Realita;static;sra;2
Čertůf punk;No Future;Realita;llm;fuck;
Čertůf punk;No Future;To snad ne;llm;zhovadilý;
Čertůf punk;No Future;Vězení;llm;vole;
Čertůf punk;No Future;Vězení;llm;***y;
Čertůf punk;Stejnej bordel;Bordel v bordelu;llm;bordel;
Čertůf punk;Stejnej bordel;Hnusný lidi;static;hajzl;1
Čertůf punk;Stejnej bordel;Hnusný lidi;llm;shit;
Čertůf punk;Stejnej bordel;Hunky punki;llm;fuck;
Čertůf punk;Stejnej bordel;Hunky punki;llm;shit;
Čertůf punk;Stejnej bordel;Love song;static;sra;1
Čertůf punk;Stejnej bordel;Love song;static;prdel;1
Čertůf punk;Stejnej bordel;Love song;static;debil;1
Čertůf punk;Stejnej bordel;Love song;llm;fuck;
Čertůf punk;Stejnej bordel;Love song;llm;shit;
Čertůf punk;Stejnej bordel;Love song;llm;bitch;
Čertůf punk;Stejnej bordel;Nebuď měkej;static;svin;1
Čertůf punk;Stejnej bordel;Nebuď měkej;llm;svinstvem;
Čertůf punk;Stejnej bordel;Nebuď měkej;llm;hoven;
Čertůf punk;Stejnej bordel;Práce - Fuck Off;llm;fuck;
Čertůf punk;Stejnej bordel;Revoluce;llm;vysere;
Čertůf punk;Stejnej bordel;Scandal;static;prdel;1
Čertůf punk;Stejnej bordel;Scandal;llm;prdeli;
Čertůf punk;Stejnej bordel;Školení;static;kurv;1
Čertůf punk;Stejnej bordel;Školení;llm;fuck;
Čertůf punk;Stejnej bordel;Školení;llm;shit;
Čertůf punk;Stejnej bordel;Stejnej bordel;static;sra;1
Čertůf punk;Stejnej bordel;Stejnej bordel;static;debil;1
Čertůf punk;Stejnej bordel;Stejnej bordel;static;hovn;1
Čertůf punk;Stejnej bordel;Stejnej bordel;llm;fuck;
Čertůf punk;Stejnej bordel;Stejnej bordel;llm;shit;
Čertůf punk;Stejnej bordel;Stejnej bordel;llm;damn;
Čertůf punk;Stejnej bordel;Stejnej bordel;llm;asshole;
Čertůf punk;Stejnej bordel;Stejnej bordel;llm;motherfucker;
Čertůf punk;Stejnej bordel;Styll;static;hovn;1
Čertůf punk;Stejnej bordel;Styll;llm;hovno;
Čertůf punk;Stejnej bordel;Zamrdej si;llm;fuck;
Čertůf punk;Stejnej bordel;Zamrdej si;llm;shit;
Čertůf punk;Stejnej bordel;Zkurvenej den;static;kurv;4
Čertůf punk;Stejnej bordel;Zkurvenej den;static;debil;1
Čertůf punk;Stejnej bordel;Zkurvenej den;llm;fuck;
Civilní Obrana;Holku pevnou mít;Holku Pevnou Mít;static;pic;1
Civilní Obrana;Holku pevnou mít;Holku Pevnou Mít;static;prdel;3
Civilní Obrana;Holku pevnou mít;Holku Pevnou Mít;llm;shit;
Civilní Obrana;Já, Civilka;To Dokáže Chlap;llm;bolí;
Civilní Obrana;Já, Civilka;To Dokáže Chlap;llm;šmejde;
Civilní Obrana;Konkurz;Kino;llm;sakra;
Civilní Obrana;Konkurz;Zvracel;static;hajzl;1
Civilní Obrana;Konkurz;Zvracel;llm;fuck;
Civilní Obrana;Konkurz;Zvracel;llm;shit;
Civilní Obrana;Loterie;Lehká;llm;fuck;
Civilní Obrana;Loterie;Lehká;llm;shit;
Civilní Obrana;Loterie;Lehká;llm;bitch;
Civilní Obrana;Loterie;Všechno Nejlepší;llm;fuck;
Civilní Obrana;Loterie;Zabiják;static;sra;2
Civilní Obrana;[So:Wa]?;Podvedená;static;sra;2
Civilní Obrana;Zlatá deska;Holku Pevnou Mít;static;pic;1
Civilní Obrana;Zlatá deska;Holku Pevnou Mít;static;prdel;3
Civilní Obrana;Zlatá deska;To Dokáže Chlap;llm;šmejde;
Destroyself;4 Promile Tribut;Cestou nenásilí;llm;fuck;
Destroyself;4 Promile Tribut;Cestou nenásilí;llm;shit;
Destroyself;4 Promile Tribut;Hrozič;llm;shit;
Destroyself;4 Promile Tribut;Hrozič;llm;cunt;
Destroyself;4 Promile Tribut;Skřítek;llm;damn;
Destroyself;4 Promile Tribut;Timur;llm;fuck;
Destroyself;Deštivá Ulice;Deštivá ulice;llm;proklíná;
Destroyself;Destroyself;Fajl ekskluzif;llm;chcípne;
Destroyself;Kontrolujou;Tisíce Rukou;static;svin;2
Destroyself;Kontrolujou;Tisíce Rukou;llm;svinstvu;
Destroyself;Neosymbolic;Dým a Čmoud;llm;k ďasu;
Destroyself;Terrores Magicos;Daleko;static;svin;3
Destroyself;Terrores Magicos;Daleko;llm;svině;
Dukla Vozovna;Cvičná jízda;18;static;prdel;1
Dukla Vozovna;Cvičná jízda;18;llm;fuck;
Dukla Vozovna;Cvičná jízda;18;llm;shit;
Dukla Vozovna;Cvičná jízda;Dukla vozovna;llm;seru;
Dukla Vozovna;Cvičná jízda;Hovno;static;hajzl;2
Dukla Vozovna;Cvičná jízda;Hovno;static;sra;1
Dukla Vozovna;Cvičná jízda;Hovno;llm;shit;
Dukla Vozovna;Cvičná jízda;Proč;static;debil;1
Dukla Vozovna;Cvičná jízda;Proč;llm;sakra;
Dukla Vozovna;Cvičná jízda;Šesnácky;llm;fuck;
Dukla Vozovna;Cvičná jízda;Šesnácky;llm;shit;
Dukla Vozovna;Cvičná jízda;Školáci;static;prdel;1
Dukla Vozovna;Cvičná jízda;Školáci;llm;shit;
Dukla Vozovna;Cvičná jízda;Školáci;llm;fuck;
Dukla Vozovna;Mistři!;"""16"" (Nechte mě bejt)";llm;sere;
Dukla Vozovna;Mistři!;Bijte mě do hlavy;static;kráv;1
Dukla Vozovna;Mistři!;Bijte mě do hlavy;static;debil;1
Dukla Vozovna;Mistři!;Bijte mě do hlavy;llm;vole;
Dukla Vozovna;Mistři!;Bijte mě do hlavy;llm;hovado;
Dukla Vozovna;Mistři!;HomoHory;static;prdel;1
Dukla Vozovna;Mistři!;Kovi 2;llm;vole;
Dukla Vozovna;Mistři!;Malý muž;static;kurv;1
Dukla Vozovna;Mistři!;Malý muž;llm;fuck;
Dukla Vozovna;Mistři!;Malý muž;llm;shit;
Dukla Vozovna;Mistři!;Nedrbejte špínu;llm;fuck;
Dukla Vozovna;Mistři!;Nedrbejte špínu;llm;shit;
Dukla Vozovna;Mistři!;Nedrbejte špínu;llm;bastard;
Dukla Vozovna;Mistři!;Slepice;static;pic;3
Dukla Vozovna;Mistři!;Trpaslíci;static;pic;1
Dukla Vozovna;Mistři!;Všechno se změnilo;static;prdel;1
Dukla Vozovna;Mistři!;Všechno se změnilo;static;kráv;1
Dukla Vozovna;Mistři!;Všechno se změnilo;llm;prdel;
Dukla Vozovna;Mistři!;Všechno se změnilo;llm;keci;
Dukla Vozovna;Prášek proti smrti;Dva Němci původem ze Švýcarska;static;sra;1
Dukla Vozovna;Prášek proti smrti;Kapela;static;sra;1
Dukla Vozovna;Prášek proti smrti;Panáček;llm;hovada;
Dukla Vozovna;Prášek proti smrti;Pulec;llm;fuck;
Dukla Vozovna;Zastávka svět;Dechovka;static;sra;1
Dukla Vozovna;Zastávka svět;Dechovka;llm;fuck;
Dukla Vozovna;Zastávka svět;Dechovka;llm;shit;
Dukla Vozovna;Zastávka svět;Hovna s háčkama;static;hovn;8
Dukla Vozovna;Zastávka svět;Hovna s háčkama;llm;hovna;
Dukla Vozovna;Zastávka svět;Kufr;llm;vykašlu se;
Dukla Vozovna;Zastávka svět;Línej;llm;fuck;
Dukla Vozovna;Zastávka svět;Línej;llm;shit;
Dukla Vozovna;Zastávka svět;Posázaví;llm;shit;
Dukla Vozovna;Zastávka svět;Posázaví;llm;damn;
Dukla Vozovna;Zastávka svět;Salamandr;static;sra;1
Dukla Vozovna;Zastávka svět;Salamandr;llm;shit;
Dukla Vozovna;Zastávka svět;Salamandr;llm;hell;
Dukla Vozovna;Zastávka svět;Tak pojď dál;static;sra;1
Dukla Vozovna;Zastávka svět;Tak pojď dál;llm;fuck;
Dukla Vozovna;Zastávka svět;Tak pojď dál;llm;shit;
E E;Děláme co můžem;O lásce;static;hajzl;1
E E;Děláme co můžem;O lásce;llm;hajzlu;
E E;Děláme co můžem;O Praze;llm;fuck;
E E;Děláme co můžem;O Praze;llm;shit;
E E;Děláme co můžem;O sluníčku;llm;fuck;
E E;Děláme co můžem;O sluníčku;llm;shit;
E E;Děláme co můžem;O varování ministra zdravotnictví;llm;damn;
E E;Děláme co můžem;O všem;llm;shit;
E E;Děláme co můžem;O všem;llm;fuck;
E E;Děláme co můžem;O životě;static;hovn;2
E E;Děláme co můžem;O životě;llm;fuck;
E E;Děláme co můžem;O životě;llm;shit;
E E;Děláme co můžem;Oudech;llm;hovada;
E E;Deska;Hovno;static;hovn;12
E E;Deska;Hovno;static;pic;1
E E;Deska;Hovno;llm;fuck;
E E;Deska;Humusák II;static;sra;1
E E;Deska;Humusák II;llm;hujer;
E E;Deska;Indiáni;llm;fuck;
E E;Deska;Indiáni;llm;shit;
E E;Deska;Indiáni;llm;bitch;
E E;Deska;Indiáni;llm;asshole;
E E;Deska;Indiáni;llm;bastard;
E E;Deska;Indiáni;llm;damn;
E E;Deska;Indiáni;llm;hell;
E E;Deska;Indiáni;llm;crap;
E E;Deska;Indiáni;llm;cunt;
E E;Deska;Indiáni;llm;motherfucker;
E E;Deska;Mravenec;static;sra;1
E E;Deska;Mravenec;llm;zasraná;
E E;Deska;Sračky;static;sra;1
E E;Deska;Sračky;static;kurv;3
E E;Deska;Sračky;static;svin;1
E E;Deska;Sračky;llm;fuck;
E E;Deska;Sračky;llm;shit;
E E;Deska;Sračky;llm;hell;
E E;Dvacet pe!ecek + bonus;Hujer;static;sra;3
E E;Dvacet pe!ecek + bonus;Hujer;llm;hujer;
E E;Dvacet pe!ecek + bonus;Hujer;llm;fízle;
E E;Dvacet pe!ecek + bonus;Hujer;llm;vůl;
E E;Dvacet pe!ecek + bonus;Indiáni;llm;vožerou;
E E;Dvacet pe!ecek + bonus;Indiáni;llm;servou;
E E;Dvacet pe!ecek + bonus;Kapavka;llm;shit;
E E;Dvacet pe!ecek + bonus;Kapavka;llm;fuck;
E E;Dvacet pe!ecek + bonus;Míša;static;prdel;1
E E;Dvacet pe!ecek + bonus;Míša;llm;prdele;
E E;Dvacet pe!ecek + bonus;Míša;llm;pod psa;
E E;Dvacet pe!ecek + bonus;Nasrana;static;sra;8
E E;Dvacet pe!ecek + bonus;Nasrana;llm;fuck;
E E;Dvacet pe!ecek + bonus;Nic novýho nerozjíždět;llm;shit;
E E;Dvacet pe!ecek + bonus;O králi;llm;gauner;
E E;Dvacet pe!ecek + bonus;O lásce;static;hajzl;1
E E;Dvacet pe!ecek + bonus;O lásce;llm;hajzlu;
E E;Dvacet pe!ecek + bonus;O všem;llm;fuck;
E E;Dvacet pe!ecek + bonus;O životě;static;hovn;2
E E;Dvacet pe!ecek + bonus;O životě;llm;fuck;
E E;Dvacet pe!ecek + bonus;O životě;llm;shit;
E E;Dvacet pe!ecek + bonus;Pelikáni;static;prdel;1
E E;Dvacet pe!ecek + bonus;Poslouchej;static;prdel;1
E E;Dvacet pe!ecek + bonus;Poslouchej;llm;fuck;
E E;E!E 0001;Jsem proti;static;sra;1
E E;E!E 0001;Jsem proti;llm;seru;
E E;E!E 0001;Kapavka;llm;hnusná;
E E;E!E 0001;Krásná holka;static;debil;1
E E;E!E 0001;Krásná holka;static;kurv;1
E E;E!E 0001;Krásná holka;llm;kurva;
E E;E!E 0001;Kretén hop;static;prdel;2
E E;E!E 0001;Kretén hop;llm;prdele;
E E;E!E 0001;Naštvaná;static;sra;12
E E;E!E 0001;Naštvaná;llm;nasrat;
E E;E!E 0001;Nic novýho nerozjíždět;llm;srát;
E E;E!E 0001;Nic novýho nerozjíždět;llm;chcát;
E E;Lepší už to nebude;ABA-16-01;llm;fuck;
E E;Lepší už to nebude;ABA-16-01;llm;shit;
E E;Lepší už to nebude;Brigáda;static;kráv;1
E E;Lepší už to nebude;Brigáda;llm;kráva;
E E;Lepší už to nebude;Ewrybády;static;fuck;1
E E;Lepší už to nebude;Ewrybády;static;prdel;1
E E;Lepší už to nebude;Ewrybády;llm;fuck;
E E;Lepší už to nebude;Mravenec;static;sra;1
E E;Lepší už to nebude;Mravenec;llm;zasraná;
E E;Lepší už to nebude;Pohoda;llm;fuck;
E E;Lepší už to nebude;Veka;llm;damn;
E E;Mrtvák;Brečím;static;debil;1
E E;Mrtvák;Brečím;llm;seru;
E E;Mrtvák;Číro;static;svin;14
E E;Mrtvák;Číro;llm;svině;
E E;Mrtvák;Hujer;static;sra;3
E E;Mrtvák;Hujer;llm;fuck;
E E;Mrtvák;Jsem proti;static;sra;1
E E;Mrtvák;Jsem proti;llm;seru;
E E;Mrtvák;Kufříček;static;hovn;1
E E;Mrtvák;Kufříček;llm;fuck;
E E;Mrtvák;Kufříček;llm;shit;
E E;Mrtvák;Kufříček;llm;damn;
E E;Mrtvák;Kufříček;llm;hell;
E E;Mrtvák;Na dvě;static;prdel;2
E E;Mrtvák;Na dvě;llm;shit;
E E;Mrtvák;Nezívej;llm;serou;
E E;Mrtvák;Pelikáni;static;prdel;1
E E;Mrtvák;Poslouchej;static;prdel;1
E E;Mrtvák;Poslouchej;llm;fuck;
E E;Mrtvák;Poslouchej;llm;shit;
E E;Mrtvák;Poslouchej;llm;damn;
Elektrïck Mann;Kokar pičkan;Fidel Castro;static;prdel;1
Elektrïck Mann;Kokar pičkan;Fidel Castro;llm;fuck;
Elektrïck Mann;Kokar pičkan;Fidel Castro;llm;shit;
Elektrïck Mann;Kokar pičkan;Fidel Castro;llm;bastard;
Elektrïck Mann;Kokar pičkan;Hradní Svíce;static;píč;1
Elektrïck Mann;Kokar pičkan;Hradní Svíce;static;svin;1
Elektrïck Mann;Kokar pičkan;Hradní Svíce;llm;fuck;
Elektrïck Mann;Kokar pičkan;Hradní Svíce;llm;shit;
Elektrïck Mann;Kokar pičkan;Hradní Svíce;llm;bitch;
Elektrïck Mann;Kokar pičkan;Igelit;static;dick;1
Elektrïck Mann;Kokar pičkan;Igelit;static;kurv;1
Elektrïck Mann;Kokar pičkan;Igelit;llm;fuck;
Elektrïck Mann;Kokar pičkan;Igelit;llm;shit;
Elektrïck Mann;Kokar pičkan;Igelit;llm;bitch;
Elektrïck Mann;Kokar pičkan;Igelit;llm;damn;
Elektrïck Mann;Kokar pičkan;Já Jsem Tě Nechtěl Bít;static;kurv;1
Elektrïck Mann;Kokar pičkan;Já Jsem Tě Nechtěl Bít;llm;kurvo;
Elektrïck Mann;Kokar pičkan;Jak Si Ji šukal;static;kurv;5
Elektrïck Mann;Kokar pičkan;Jak Si Ji šukal;static;prdel;3
Elektrïck Mann;Kokar pičkan;Jak Si Ji šukal;llm;fuck;
Elektrïck Mann;Kokar pičkan;Jak Si Ji šukal;llm;shit;
Elektrïck Mann;Kokar pičkan;Jak Si Ji šukal;llm;bitch;
Elektrïck Mann;Kokar pičkan;Jak Si Ji šukal;llm;asshole;
Elektrïck Mann;Kokar pičkan;Jak Si Ji šukal;llm;bastard;
Elektrïck Mann;Kokar pičkan;Jak Si Ji šukal;llm;damn;
Elektrïck Mann;Kokar pičkan;Jak Si Ji šukal;llm;hell;
Elektrïck Mann;Kokar pičkan;Jak Si Ji šukal;llm;crap;
Elektrïck Mann;Kokar pičkan;Jak Si Ji šukal;llm;cunt;
Elektrïck Mann;Kokar pičkan;Jak Si Ji šukal;llm;motherfucker;
Elektrïck Mann;Kokar pičkan;Jarcová;llm;fuck;
Elektrïck Mann;Kokar pičkan;Jarcová;llm;shit;
Elektrïck Mann;Kokar pičkan;Jdi Do Hajzlu;static;fuck;3
Elektrïck Mann;Kokar pičkan;Jdi Do Hajzlu;static;hajzl;9
Elektrïck Mann;Kokar pičkan;Jdi Do Hajzlu;static;kurv;1
Elektrïck Mann;Kokar pičkan;Jdi Do Hajzlu;llm;fuck;
Elektrïck Mann;Kokar pičkan;Jdi Do Hajzlu;llm;kurva;
Elektrïck Mann;Kokar pičkan;Jdi Do Hajzlu;llm;mrdám;
Elektrïck Mann;Kokar pičkan;Kokain;static;píč;1
Elektrïck Mann;Kokar pičkan;Kokain;static;kurv;3
Elektrïck Mann;Kokar pičkan;Kokain;llm;fuck;
Elektrïck Mann;Kokar pičkan;Kokain;llm;shit;
Elektrïck Mann;Kokar pičkan;Kokain;llm;bastard;
Elektrïck Mann;Kokar pičkan;Kokar Pičkan;llm;pičkan;
Elektrïck Mann;Kokar pičkan;Mám Dobrý Nápad;static;kurv;2
Elektrïck Mann;Kokar pičkan;Mám Dobrý Nápad;static;prdel;1
Elektrïck Mann;Kokar pičkan;Mám Dobrý Nápad;llm;fuck;
Elektrïck Mann;Kokar pičkan;Mám Dobrý Nápad;llm;bitch;
Elektrïck Mann;Kokar pičkan;Mám Dobrý Nápad;llm;hell;
Elektrïck Mann;Kokar pičkan;Mám Dobrý Nápad;llm;crap;
Elektrïck Mann;Kokar pičkan;Máma;llm;pičkan;
Elektrïck Mann;Kokar pičkan;Na Držku Padám;static;píč;1
Elektrïck Mann;Kokar pičkan;Na Držku Padám;static;čur;1
Elektrïck Mann;Kokar pičkan;Na Držku Padám;llm;fuck;
Elektrïck Mann;Kokar pičkan;Na Držku Padám;llm;shit;
Elektrïck Mann;Kokar pičkan;Na Držku Padám;llm;bitch;
Elektrïck Mann;Kokar pičkan;Nájemní Vrazi;static;sra;1
Elektrïck Mann;Kokar pičkan;Nájemní Vrazi;static;kurv;5
Elektrïck Mann;Kokar pičkan;Nájemní Vrazi;llm;fuck;
Elektrïck Mann;Kokar pičkan;Nájemní Vrazi;llm;shit;
Elektrïck Mann;Kokar pičkan;Nájemní Vrazi;llm;bastard;
Elektrïck Mann;Kokar pičkan;Nájemní Vrazi;llm;damn;
Elektrïck Mann;Kokar pičkan;Nájemní Vrazi;llm;hell;
Elektrïck Mann;Kokar pičkan;Papén;static;kurv;3
Elektrïck Mann;Kokar pičkan;Papén;static;hajzl;1
Elektrïck Mann;Kokar pičkan;Papén;static;pic;1
Elektrïck Mann;Kokar pičkan;Papén;llm;kurva;
Elektrïck Mann;Kokar pičkan;Papén;llm;kurva;
Elektrïck Mann;Kokar pičkan;Papén;llm;hajzlu;
Elektrïck Mann;Kokar pičkan;Papén;llm;sere;
Elektrïck Mann;Kundodrom;Hey Vole;static;kurv;6
Elektrïck Mann;Kundodrom;Hey Vole;static;hajzl;1
Elektrïck Mann;Kundodrom;Hey Vole;llm;kurva;
Elektrïck Mann;Kundodrom;Hey Vole;llm;fuck;
Elektrïck Mann;Kundodrom;Hey Vole;llm;shit;
Elektrïck Mann;Kundodrom;Rande;static;kurv;1
Elektrïck Mann;Kundodrom;Rande;static;prdel;1
Elektrïck Mann;Kundodrom;Rande;static;hovn;1
Elektrïck Mann;Kundodrom;Rande;llm;fuck;
Elektrïck Mann;Kundodrom;Rande;llm;shit;
Elektrïck Mann;Kundodrom;Rande;llm;bitch;
Elektrïck Mann;Kundodrom;Rande;llm;damn;
Elektrïck Mann;Kundodrom;Rande;llm;hell;
