band;album;song;substance
Dukla Vozovna;Zastávka svět;Kytka;alcohol
Dukla Vozovna;Zastávka svět;Posázaví;alcohol
Dukla Vozovna;Zastávka svět;Posázaví;beer
Dukla Vozovna;Zastávka svět;Salamandr;alcohol
Dukla Vozovna;Zastávka svět;Skáčko;alcohol
Dukla Vozovna;Zastávka svět;Skáčko;cigarettes
Dukla Vozovna;Zastávka svět;Tak pojď dál;rum
Dukla Vozovna;Zastávka svět;Tak pojď dál;alcohol
E E;Děláme co můžem;O lásce;pajzlu
E E;Děláme co můžem;O Praze;alcohol
E E;Děláme co můžem;O sluníčku;alcohol
E E;Děláme co můžem;O sluníčku;weed
E E;Děláme co můžem;O varování ministra zdravotnictví;smoking
E E;Děláme co můžem;O varování ministra zdravotnictví;cigarettes
E E;Děláme co můžem;O všem;beer
E E;Děláme co můžem;O všem;wine
E E;Děláme co můžem;O všem;alcohol
E E;Děláme co můžem;O ženách;beer
E E;Děláme co můžem;O ženách;alcohol
E E;Děláme co můžem;Oudech;alcohol
E E;Deska;Chlapci;beer
E E;Deska;Hovno;alcohol
E E;Deska;Hovno;cigarettes
E E;Deska;Hovno;nicotine
E E;Deska;Hovno;cigarettes
E E;Deska;Hu100bar;beer
E E;Deska;Humusák II;alcohol
E E;Deska;Humusák II;cigarettes
E E;Deska;Indiáni;weed
E E;Deska;Indiáni;alcohol
E E;Deska;Svítí;alcohol
E E;Deska;Svítí;lsd
E E;Dvacet pe!ecek + bonus;Dělník;alcohol
E E;Dvacet pe!ecek + bonus;Hujer;beer
E E;Dvacet pe!ecek + bonus;Hujer;weed
E E;Dvacet pe!ecek + bonus;Humusák;alcohol
E E;Dvacet pe!ecek + bonus;Indiáni;weed
E E;Dvacet pe!ecek + bonus;Indiáni;alcohol
E E;Dvacet pe!ecek + bonus;Indiáni;beer
E E;Dvacet pe!ecek + bonus;Lidová demokracie;vodka
E E;Dvacet pe!ecek + bonus;Nic novýho nerozjíždět;beer
E E;Dvacet pe!ecek + bonus;O všem;beer
E E;Dvacet pe!ecek + bonus;O všem;wine
E E;Dvacet pe!ecek + bonus;O všem;alcohol
E E;Dvacet pe!ecek + bonus;O ženách;alcohol
E E;Dvacet pe!ecek + bonus;O ženách;beer
E E;Dvacet pe!ecek + bonus;Pelikáni;alcohol
E E;Dvacet pe!ecek + bonus;Pepík;alcohol
E E;Dvacet pe!ecek + bonus;Pepík;beer
E E;E!E 0001;Humusák;alcohol
E E;E!E 0001;Krásná holka;cigarettes
E E;E!E 0001;Krásná holka;nicotine
E E;E!E 0001;Nic novýho nerozjíždět;beer
E E;Lepší už to nebude;Ewrybády;weed
E E;Lepší už to nebude;Ewrybády;marijuana
E E;Lepší už to nebude;Lidi;vodka
E E;Lepší už to nebude;Lidi;alcohol
E E;Lepší už to nebude;Marila;alcohol
E E;Lepší už to nebude;Na státní útraty;alcohol
E E;Lepší už to nebude;Veka;weed
E E;Lepší už to nebude;Veka;alcohol
E E;Mrtvák;Hujer;beer
E E;Mrtvák;Hujer;weed
E E;Mrtvák;Hujer;alcohol
E E;Mrtvák;Humusák;alcohol
E E;Mrtvák;Koš;alcohol
E E;Mrtvák;Pelikáni;beer
E E;Mrtvák;Táhni;alcohol
E E;Mrtvák;Táhni;cigarettes
E E;Mrtvák;Tak mi dej;alcohol
E E;Mrtvák;Víme;alcohol
Elektrïck Mann;Kokar pičkan;Fidel Castro;beer
Elektrïck Mann;Kokar pičkan;Fidel Castro;alcohol
Elektrïck Mann;Kokar pičkan;Fidel Castro;weed
Elektrïck Mann;Kokar pičkan;Fidel Castro;marijuana
Elektrïck Mann;Kokar pičkan;Fidel Castro;rum
Elektrïck Mann;Kokar pičkan;Fidel Castro;cocaine
Elektrïck Mann;Kokar pičkan;Hradní Svíce;weed
Elektrïck Mann;Kokar pičkan;Hradní Svíce;alcohol
Elektrïck Mann;Kokar pičkan;Igelit;alcohol
Elektrïck Mann;Kokar pičkan;Igelit;weed
Elektrïck Mann;Kokar pičkan;Igelit;toluene
Elektrïck Mann;Kokar pičkan;Já Jsem Tě Nechtěl Bít;weed
Elektrïck Mann;Kokar pičkan;Já Jsem Tě Nechtěl Bít;marijuana
Elektrïck Mann;Kokar pičkan;Jarcová;alcohol
Elektrïck Mann;Kokar pičkan;Jdi Do Hajzlu;savo
Elektrïck Mann;Kokar pičkan;Kokain;cocaine
Elektrïck Mann;Kokar pičkan;Kokain;alcohol
Elektrïck Mann;Kokar pičkan;Kokain;meth
Elektrïck Mann;Kokar pičkan;Kokar Pičkan;pervitin
Elektrïck Mann;Kokar pičkan;Kokar Pičkan;drugs
Elektrïck Mann;Kokar pičkan;Mám Dobrý Nápad;weed
Elektrïck Mann;Kokar pičkan;Mám Dobrý Nápad;alcohol
Elektrïck Mann;Kokar pičkan;Mám Dobrý Nápad;pills
Elektrïck Mann;Kokar pičkan;Na Držku Padám;alcohol
Elektrïck Mann;Kokar pičkan;Na Držku Padám;weed
Elektrïck Mann;Kokar pičkan;Na Držku Padám;pills
Elektrïck Mann;Kokar pičkan;Nájemní Vrazi;alcohol
Elektrïck Mann;Kokar pičkan;Papén;alcohol
Elektrïck Mann;Kokar pičkan;Papén;weed
Elektrïck Mann;Kokar pičkan;Papén;marijuana
Elektrïck Mann;Kokar pičkan;Papén;drugs
Elektrïck Mann;Kundodrom;Hey Vole;weed
Elektrïck Mann;Kundodrom;Hey Vole;marijuana
Elektrïck Mann;Kundodrom;Hey Vole;alcohol
Elektrïck Mann;Kundodrom;Rande;alcohol
Elektrïck Mann;Kundodrom;Tik Tak;rum
Elektrïck Mann;Kundodrom;Tik Tak;alcohol
Elektrïck Mann;Zhorovy Streety;Jahodové Koláčky;alcohol
Elektrïck Mann;Zhorovy Streety;Jahodové Koláčky;beer
Elektrïck Mann;Zhorovy Streety;Lezba;alcohol
Elektrïck Mann;Zhorovy Streety;Lezba;cigarettes
Elektrïck Mann;Zhorovy Streety;Lezba;weed
Elektrïck Mann;Zhorovy Streety;Včera Jsem Byl Na Piku;alcohol
Elektrïck Mann;Zhorovy Streety;Vítá Vás Ice-B;alcohol
Elektrïck Mann;Zhorovy Streety;Vítá Vás Ice-B;weed
Houba;...ať von zacvrč!;Bomba;alcohol
Houba;...ať von zacvrč!;Bomba;pills
Houba;...ať von zacvrč!;Pádlo;alcohol
Houba;...ať von zacvrč!;Pádlo;cigarettes
Houba;...ať von zacvrč!;Stromy;alcohol
Houba;...ať von zacvrč!;Vodácká 1-3;alcohol
Houba;Fičící pes;Hospoda;beer
Houba;Fičící pes;Hospoda;alcohol
Houba;Fičící pes;Radosti života;alcohol
Houba;Fičící pes;Radosti života;opium
Houba;Hnus fialovej;Ve dne, v noci;alcohol
Houba;Kuře Punk-Pao;Borec;práškama
Houba;Kuře Punk-Pao;Kdo víno;alcohol
Houba;Kuře Punk-Pao;Kdo víno;beer
Houba;Kuře Punk-Pao;Na měsíc na Měsíc;beer
Houba;Kuře Punk-Pao;Pivo piv;beer
Houba;Kuře Punk-Pao;Princezná;beer
Houba;Kuře Punk-Pao;Princezná;alcohol
Houba;Kuře Punk-Pao;Yveta;alcohol
Houba;Kuře Punk-Pao;Yveta;beer
Houba;Kuře Punk-Pao;Zoodědek;alcohol
Houba;Pan Káč;Bonus;alcohol
Houba;Pan Káč;Kapitán;beer
Houba;Pan Káč;Kapitán;rum
Houba;Pan Káč;Kapitán;alcohol
Houba;Pan Káč;Pohoda Lábus;alcohol
Houba;Pan Káč;Pohoda Lábus;beer
Houba;Pan Káč;Sam medvěd;whiskey
Houba;Pan Káč;Sam medvěd;alcohol
Houba;Pan Káč;Uf, to byla noc;alcohol
Houba;Pan Káč;Vysmátý divadlo;weed
Houba;Pan Káč;Vysmátý divadlo;alcohol
Houba;U Šílena Nesersrny;Šašek;alcohol
Houba;U Šílena Nesersrny;Sráči;alcohol
Houba;U Šílena Nesersrny;Sráči;cigarettes
Hubert Macháně;Live in Reichenberg;Hubert Macháně;alcohol
Hubert Macháně;Live in Reichenberg;Koplas mě šeredně pod koleno, bejby;alcohol
Hubert Macháně;Live in Reichenberg;Metr píva;beer
Hubert Macháně;Zazdili nám WC!!;Děvky a chlast;alcohol
Hubert Macháně;Zazdili nám WC!!;Hoja hoj;alcohol
Hubert Macháně;Zazdili nám WC!!;Metr píva;alcohol
Hubert Macháně;Zazdili nám WC!!;Schizofrénie;alcohol
Hubert Macháně;Zazdili nám WC!!;Zazdili nám WC;alcohol
Hudba Praha;25 pecek;Čau amore;wine
Hudba Praha;25 pecek;Čau amore;alcohol
Hudba Praha;25 pecek;Ještě dnes;pills
Hudba Praha;25 pecek;Máma táta;alcohol
Hudba Praha;25 pecek;Máma táta;weed
Hudba Praha;25 pecek;Marijuana;weed
Hudba Praha;25 pecek;Marijuana;marijuana
Hudba Praha;25 pecek;Nech to tak;weed
Hudba Praha;25 pecek;Realita;alcohol
Hudba Praha;25 pecek;Ryba Badys;alcohol
Hudba Praha;Divoký srdce;Čau amore;wine
Hudba Praha;Divoký srdce;Marijuana;weed
Hudba Praha;Divoký srdce;Marijuana;marijuana
Hudba Praha;Hudba Praha;A tak dál;alcohol
Hudba Praha;Hudba Praha;Zákon o zachování energie;alcohol
Hudba Praha;Maelström;Hospoda;alcohol
Hudba Praha;Maelström;Hospoda;beer
Hudba Praha;Maelström;Máma táta;alcohol
Hudba Praha;Maelström;Máma táta;weed
Hudba Praha;Maelström;Většinu rán;alcohol
Hudba Praha;Maják;Ještě dnes;alcohol
Hudba Praha;Maják;Realita;alcohol
Hudba Praha;Maják;Vostrej čas;alcohol
Hudba Praha;Nashledanou (Live);A tak dál;alcohol
Hudba Praha;Nashledanou (Live);Intro;alcohol
Hudba Praha;Nashledanou (Live);Intro;cigarettes
Hudba Praha;Nashledanou (Live);Maják;alcohol
Hudba Praha;Nashledanou (Live);Maják;weed
Hudba Praha;Nashledanou (Live);Maják;cigarettes
Hudba Praha;Nashledanou (Live);Majolenka;alcohol
Hudba Praha;Nashledanou (Live);Máma táta;alcohol
Hudba Praha;Nashledanou (Live);Máma táta;weed
Hudba Praha;Nashledanou (Live);Marijuana;weed
Hudba Praha;Nashledanou (Live);Marijuana;marijuana
Hudba Praha;Nashledanou (Live);Ryba Badys;alcohol
Hudba Praha;Nashledanou (Live);Většinu rán;alcohol
Hudba Praha;Starý pecky (a tak dál...);Majolenka;alcohol
Hudba Praha;Starý pecky (a tak dál...);Máma táta;alcohol
Hudba Praha;Starý pecky (a tak dál...);Máma táta;weed
Hudba Praha;Starý pecky (a tak dál...);Ryba Badys;alcohol
Hudba Praha;Starý pecky (a tak dál...);Ryba Badys;weed
Jaksi Taksi;Egoland;Egoland;beer
Jaksi Taksi;Egoland;Nebudu pít alkohol;alcohol
Jaksi Taksi;Egoland;Seriózní vztah;cigarettes
Jaksi Taksi;Hysterčák;Hnědý rosol;alcohol
Jaksi Taksi;Hysterčák;Večer na náměstí;alcohol
Jaksi Taksi;Hysterčák;Večírek;cigarettes
Jaksi Taksi;Live 2002;Globální;beer
Jaksi Taksi;Live 2002;Globální;tequila
Jaksi Taksi;Live 2002;Globální;wine
Jaksi Taksi;Live 2002;Globální;alcohol
Jaksi Taksi;Live 2002;Hosana bin Ladin;alcohol
Jaksi Taksi;Live 2002;Naše scéna;beer
Jaksi Taksi;Live 2002;Pan Tea;beer
Jaksi Taksi;Live 2002;Pozvedni pěst;alcohol
Jaksi Taksi;Málo krve;Čirokéz;alcohol
Jaksi Taksi;Málo krve;Čirokéz;nicotine
Jaksi Taksi;Málo krve;Den;alcohol
Jaksi Taksi;Málo krve;Hey brácho;wine
Jaksi Taksi;Málo krve;Hey brácho;alcohol
Jaksi Taksi;Na běžícím pásu;Naše scéna;beer
Jaksi Taksi;Na běžícím pásu;Naše scéna;alcohol
Jaksi Taksi;Na běžícím pásu;Stará bába;cmunda
Jaksi Taksi;Na běžícím pásu;Sváteční;alcohol
Jaksi Taksi;OffLine;Párty;vodka
Jaksi Taksi;OffLine;Párty;alcohol
Jaksi Taksi;OffLine;Párty;wine
Jaksi Taksi;OffLine;Show;alcohol
Jaksi Taksi;On-Line;Globální;alcohol
Jaksi Taksi;On-Line;Globální;beer
Jaksi Taksi;On-Line;Globální;tequila
Jaksi Taksi;On-Line;Globální;wine
Jaksi Taksi;On-Line;Pan Tea;beer
Jaksi Taksi;Optimista;Mám rád;beer
Jaksi Taksi;Optimista;Mám rád;wine
Jaksi Taksi;Optimista;Posel dobrých zpráv;weed
Jaksi Taksi;Optimista;Proti všem;alcohol
Jaksi Taksi;Signál;Dýchám;wine
Jaksi Taksi;Signál;Maturitní večírek;alcohol
Jaksi Taksi;Signál;Vteřina;wine
Jaksi Taksi;Uvěř a zaplať!;Nemám zájem;alcohol
Jaksi Taksi;Uvěř a zaplať!;Nemám zájem;weed
Jaksi Taksi;Uvěř a zaplať!;Nemám zájem;marijuana
Jaksi Taksi;Všechno dobrý;After Party;alcohol
Jaksi Taksi;Všechno dobrý;Aladin Airlines;alcohol
Jaksi Taksi;Všechno dobrý;Na koncertě ( to be continued );vodka
Jaksi Taksi;Všechno dobrý;Na koncertě ( to be continued );alcohol
Jaksi Taksi;Zachovejte paniku!;Na koncertě 2 - to be continued;vodka
Jaksi Taksi;Zachovejte paniku!;Škola;alcohol
Jaksi Taksi;Zachovejte paniku!;Škola;beer
Jaksi Taksi;Zachovejte paniku!;Večer;alcohol
Jaksi Taksi;Zachovejte paniku!;Večer;weed
Jaksi Taksi;Zachovejte paniku!;Večer;marijuana
Jasná Páka;25 pecek;Špinavý záda;alcohol
Jasná Páka;Černá deska;Konec nočních toulek;alcohol
Jasná Páka;Černá deska;No Sex, No Drugs;alcohol
Jasná Páka;Jasná Páka;Kousej;beer
Jasná Páka;Jasná Páka;Penízek;alcohol
Jasná Páka;Jasná Páka;Penízek;beer
Jasná Páka;Jasná Páka;Výlet;alcohol
Jasná Páka;Od začátku do konce;Celou noc;beer
Jasná Páka;Od začátku do konce;Celou noc;alcohol
Jasná Páka;Od začátku do konce;Kousej;alcohol
Jasná Páka;Od začátku do konce;Majolenka;alcohol
Jasná Páka;Od začátku do konce;Nálady - sedí, pije;cigarettes
Jasná Páka;Od začátku do konce;Nálady - sedí, pije;alcohol
Jasná Páka;Od začátku do konce;Penízek;alcohol
Jasná Páka;Od začátku do konce;Penízek;beer
Jasná Páka;Od začátku do konce;Voči Sůví;alcohol
Jasná Páka;Od začátku do konce;Výlet;alcohol
Malomocnost prázdnoty;Děti Země;Špinavej Titanic;alcohol
Malomocnost prázdnoty;Pátek 13;Dalila;alcohol
Malomocnost prázdnoty;Pátek 13;Dalila;nicotine
Malomocnost prázdnoty;Přestaň věřit;Špinavej Titanic;alcohol
Nežfaleš;Ber dokud dávám;Halucinogen;cigarety
Nežfaleš;Ber dokud dávám;Jeden song;pills
Nežfaleš;Ber dokud dávám;Jeden song;alcohol
Nežfaleš;Ber dokud dávám;Kámoši z podsvětí;alcohol
Nežfaleš;Ber dokud dávám;Napsaný v ksichtě;alcohol
Nežfaleš;Ber dokud dávám;Napsaný v ksichtě;whiskey
Nežfaleš;Ber dokud dávám;Ségra;alcohol
Nežfaleš;Ber dokud dávám;Špína;alcohol
Nežfaleš;Ber dokud dávám;Špína;beer
Nežfaleš;Ber dokud dávám;Štastnej jsem dost;alcohol
Nežfaleš;Dvě desítky let;Bez ženský i bez peněz;alcohol
Nežfaleš;Dvě desítky let;Bez ženský i bez peněz;nicotine
Nežfaleš;Dvě desítky let;Bez ženský i bez peněz;cigarettes
Nežfaleš;Dvě desítky let;Modrá Vopice;alcohol
Nežfaleš;Dvě desítky let;Modrá Vopice;beer
Nežfaleš;Dvě desítky let;Vnitřní boj;alcohol
Nežfaleš;Dvě desítky let;Za zenitem;alcohol
Nežfaleš;... jak za války;Ohavný motýlek;alcohol
Nežfaleš;... jak za války;Panenka z porcelánu;alcohol
Nežfaleš;... jak za války;Panenka z porcelánu;weed
Nežfaleš;Každej klub i bar;Afterpárty;alcohol
Nežfaleš;Každej klub i bar;Druhej Dech;alcohol
Nežfaleš;Každej klub i bar;Kapely, Co Už Ti Nezahrajou;alcohol
Nežfaleš;Každej klub i bar;Lovesong;nicotine
Nežfaleš;Každej klub i bar;Ona Má Styl;nikotin
Nežfaleš;Každej klub i bar;Ona Má Styl;ethanol
Nežfaleš;Každej klub i bar;Sen O Londýnském Pubu;alcohol
Nežfaleš;Každej klub i bar;Sliby;alcohol
Nežfaleš;Každej klub i bar;Švindl;alcohol
Nežfaleš;Není čas na hrdinství;Když tančila Roxie;alcohol
Nežfaleš;Není čas na hrdinství;Opouštím Paříž;alcohol
Nežfaleš;Není čas na hrdinství;V maringotkách;alcohol
Nežfaleš;Pár lacinejch triků;Dokonalá past;alcohol
Nežfaleš;Pár lacinejch triků;Furt je lepší vstát;alcohol
Nežfaleš;Pár lacinejch triků;Gang;alcohol
Nežfaleš;Pár lacinejch triků;Sudá a lichá;alcohol
Nežfaleš;Pár lacinejch triků;Sudá a lichá;beer
Nežfaleš;Pár lacinejch triků;Sudá a lichá;rum
Nežfaleš;Pár lacinejch triků;Úspěch;alcohol
Nežfaleš;Pár lacinejch triků;Úspěch;wine
Nežfaleš;Podtrženo/Sečteno (Výběr 2005-2007);Ohavný motýlek;alcohol
Nežfaleš;Podtrženo/Sečteno (Výběr 2005-2007);Opouštím Paříž;beer
Nežfaleš;Podtrženo/Sečteno (Výběr 2005-2007);Opouštím Paříž;alcohol
Nežfaleš;Podtrženo/Sečteno (Výběr 2005-2007);Panenka z porcelánu;fets
Nežfaleš;Podtrženo/Sečteno (Výběr 2005-2007);V maringotkách;alcohol
Nežfaleš;Podtrženo/Sečteno (Výběr 2005-2007);V maringotkách;weed
Nežfaleš;Šminky padlejch královen;Bezejmenný město;alcohol
Nežfaleš;Šminky padlejch královen;Iggy Pop For President;alcohol
Nežfaleš;Šminky padlejch královen;Iggy Pop For President;weed
Nežfaleš;Šminky padlejch královen;Modlitba za pražský floutky;alcohol
Nežfaleš;Šminky padlejch královen;Morálka;alcohol
Nežfaleš;Šminky padlejch královen;Morálka;cigarettes
Nežfaleš;Šminky padlejch královen;Neřekla ne;alcohol
Nežfaleš;Šminky padlejch královen;Záchrannej kruh;happy face
Nežfaleš;Split 2018;Drž Nám Tam Nahoře Fleka Všem;alcohol
Nežfaleš;Split 2018;Fotky;alcohol
Nežfaleš;Split 2018;Fotky;piva
Nežfaleš;Split 2018;Skutečnej Problém Je Jinde;cocaine
Nežfaleš;Split 2018;Vodka A Lexaurin;alcohol
Nežfaleš;Split 2018;Vodka A Lexaurin;weed
Nežfaleš;Split 2018;Vodka A Lexaurin;marijuana
Nežfaleš;Split 2018;Vodka A Lexaurin;cocaine
Nežfaleš;Split 2018;Vodka A Lexaurin;heroin
Nežfaleš;Split 2018;Vodka A Lexaurin;meth
Nežfaleš;Split 2018;Vodka A Lexaurin;lsd
Nežfaleš;Split 2018;Vodka A Lexaurin;ecstasy
Nežfaleš;Split 2018;Vodka A Lexaurin;pills
Nežfaleš;Split 2018;Vodka A Lexaurin;nicotine
Nežfaleš;Split 2018;Vodka A Lexaurin;cigarettes
Nežfaleš;Zločin z vášně;Nihilista;alcohol
Nežfaleš;Zločin z vášně;Opravdoví Chlapi - Se Rodí Ze Svých Chyb;alcohol
Nežfaleš;Zločin z vášně;První Dojem;rum
Nežfaleš;Zločin z vášně;Pseudohrdina;cigarettes
Nežfaleš;Zločin z vášně;Pseudohrdina;alcohol
Nežfaleš;Zločin z vášně;Rodina Je Víc Než Zákon - Kámoši Z Podsvětí III;alcohol
Nežfaleš;Zločin z vášně;Rodina Je Víc Než Zákon - Kámoši Z Podsvětí III;weed
Nežfaleš;Zločin z vášně;Zločin Z Vášně;chloroform
N. V. Ú.;14 dní;Čistá chodba;alcohol
N. V. Ú.;14 dní;Čistá chodba;weed
N. V. Ú.;14 dní;Mysli na mě až budeš pod ním;beer
N. V. Ú.;14 dní;Mysli na mě až budeš pod ním;alcohol
N. V. Ú.;14 dní;New age;alcohol
N. V. Ú.;14 dní;New age;cigarettes
N. V. Ú.;A v noci je tma;Dneska;beer
