band;album;song;source;word;count;aggregated_word
Čertůf punk;Fucking World;Volby;static;fuck;1;fuck
Čertůf punk;Fucking World;Volby;static;svin;2;bitch
Čertůf punk;Fucking World;Volby;llm;fuck;;fuck
Čertůf punk;No Future;Co ti zbylo;static;hovn;1;shit
Čertůf punk;No Future;Co ti zbylo;llm;hovno;;shit
Čertůf punk;No Future;Hovno v hlavě;static;hovn;2;shit
Čertůf punk;No Future;Hovno v hlavě;static;sra;1;shit
Čertůf punk;No Future;Hovno v hlavě;llm;shit;;shit
Čertůf punk;No Future;Hovno v hlavě;llm;cunt;;asshole
Čertůf punk;No Future;Máš strach;llm;fuck;;fuck
Čertůf punk;No Future;Máš strach;llm;shit;;shit
Čertůf punk;No Future;Na řetězu;static;sra;1;shit
Čertůf punk;No Future;Na řetězu;static;hajzl;1;asshole
Čertůf punk;No Future;Na řetězu;llm;shit;;shit
Čertůf punk;No Future;Na řetězu;llm;bastard;;bastard
Čertůf punk;No Future;Na řetězu;llm;damn;;damn
Čertůf punk;No Future;No future;llm;damn;;damn
Čertůf punk;No Future;No future;llm;hell;;damn
Čertůf punk;No Future;Police song;static;debil;1;bastard
Čertůf punk;No Future;Police song;static;svin;1;bitch
Čertůf punk;No Future;Police song;llm;shit;;shit
Čertůf punk;No Future;Politika;llm;fuck;;fuck
Čertůf punk;No Future;Politika;llm;shit;;shit
Čertůf punk;No Future;Politika;llm;damn;;damn
Čertůf punk;No Future;Realita;static;sra;2;shit
Čertůf punk;No Future;Realita;llm;fuck;;fuck
Čertůf punk;No Future;To snad ne;llm;zhovadilý;;shit
Čertůf punk;No Future;Vězení;llm;vole;;other
Čertůf punk;No Future;Vězení;llm;***y;;other
Čertůf punk;Stejnej bordel;Bordel v bordelu;llm;bordel;;other
Čertůf punk;Stejnej bordel;Hnusný lidi;static;hajzl;1;asshole
Čertůf punk;Stejnej bordel;Hnusný lidi;llm;shit;;shit
Čertůf punk;Stejnej bordel;Hunky punki;llm;fuck;;fuck
Čertůf punk;Stejnej bordel;Hunky punki;llm;shit;;shit
Čertůf punk;Stejnej bordel;Love song;static;sra;1;shit
Čertůf punk;Stejnej bordel;Love song;static;prdel;1;asshole
Čertůf punk;Stejnej bordel;Love song;static;debil;1;bastard
Čertůf punk;Stejnej bordel;Love song;llm;fuck;;fuck
Čertůf punk;Stejnej bordel;Love song;llm;shit;;shit
Čertůf punk;Stejnej bordel;Love song;llm;bitch;;bitch
Čertůf punk;Stejnej bordel;Nebuď měkej;static;svin;1;bitch
Čertůf punk;Stejnej bordel;Nebuď měkej;llm;svinstvem;;bitch
Čertůf punk;Stejnej bordel;Nebuď měkej;llm;hoven;;shit
Čertůf punk;Stejnej bordel;Práce - Fuck Off;llm;fuck;;fuck
Čertůf punk;Stejnej bordel;Revoluce;llm;vysere;;shit
Čertůf punk;Stejnej bordel;Scandal;static;prdel;1;asshole
Čertůf punk;Stejnej bordel;Scandal;llm;prdeli;;asshole
Čertůf punk;Stejnej bordel;Školení;static;kurv;1;fuck
Čertůf punk;Stejnej bordel;Školení;llm;fuck;;fuck
Čertůf punk;Stejnej bordel;Školení;llm;shit;;shit
Čertůf punk;Stejnej bordel;Stejnej bordel;static;sra;1;shit
Čertůf punk;Stejnej bordel;Stejnej bordel;static;debil;1;bastard
Čertůf punk;Stejnej bordel;Stejnej bordel;static;hovn;1;shit
Čertůf punk;Stejnej bordel;Stejnej bordel;llm;fuck;;fuck
Čertůf punk;Stejnej bordel;Stejnej bordel;llm;shit;;shit
Čertůf punk;Stejnej bordel;Stejnej bordel;llm;damn;;damn
Čertůf punk;Stejnej bordel;Stejnej bordel;llm;asshole;;asshole
Čertůf punk;Stejnej bordel;Stejnej bordel;llm;motherfucker;;fuck
Čertůf punk;Stejnej bordel;Styll;static;hovn;1;shit
Čertůf punk;Stejnej bordel;Styll;llm;hovno;;shit
Čertůf punk;Stejnej bordel;Zamrdej si;llm;fuck;;fuck
Čertůf punk;Stejnej bordel;Zamrdej si;llm;shit;;shit
Čertůf punk;Stejnej bordel;Zkurvenej den;static;kurv;4;fuck
Čertůf punk;Stejnej bordel;Zkurvenej den;static;debil;1;bastard
Čertůf punk;Stejnej bordel;Zkurvenej den;llm;fuck;;fuck
Civilní Obrana;Holku pevnou mít;Holku Pevnou Mít;static;pic;1;asshole
Civilní Obrana;Holku pevnou mít;Holku Pevnou Mít;static;prdel;3;asshole
Civilní Obrana;Holku pevnou mít;Holku Pevnou Mít;llm;shit;;shit
Civilní Obrana;Já, Civilka;To Dokáže Chlap;llm;bolí;;other
Civilní Obrana;Já, Civilka;To Dokáže Chlap;llm;šmejde;;other
Civilní Obrana;Konkurz;Kino;llm;sakra;;damn
Civilní Obrana;Konkurz;Zvracel;static;hajzl;1;asshole
Civilní Obrana;Konkurz;Zvracel;llm;fuck;;fuck
Civilní Obrana;Konkurz;Zvracel;llm;shit;;shit
Civilní Obrana;Loterie;Lehká;llm;fuck;;fuck
Civilní Obrana;Loterie;Lehká;llm;shit;;shit
Civilní Obrana;Loterie;Lehká;llm;bitch;;bitch
Civilní Obrana;Loterie;Všechno Nejlepší;llm;fuck;;fuck
Civilní Obrana;Loterie;Zabiják;static;sra;2;shit
Civilní Obrana;[So:Wa]?;Podvedená;static;sra;2;shit
Civilní Obrana;Zlatá deska;Holku Pevnou Mít;static;pic;1;asshole
Civilní Obrana;Zlatá deska;Holku Pevnou Mít;static;prdel;3;asshole
Civilní Obrana;Zlatá deska;To Dokáže Chlap;llm;šmejde;;other
Destroyself;4 Promile Tribut;Cestou nenásilí;llm;fuck;;fuck
Destroyself;4 Promile Tribut;Cestou nenásilí;llm;shit;;shit
Destroyself;4 Promile Tribut;Hrozič;llm;shit;;shit
Destroyself;4 Promile Tribut;Hrozič;llm;cunt;;asshole
Destroyself;4 Promile Tribut;Skřítek;llm;damn;;damn
Destroyself;4 Promile Tribut;Timur;llm;fuck;;fuck
Destroyself;Deštivá Ulice;Deštivá ulice;llm;proklíná;;other
Destroyself;Destroyself;Fajl ekskluzif;llm;chcípne;;other
Destroyself;Kontrolujou;Tisíce Rukou;static;svin;2;bitch
Destroyself;Kontrolujou;Tisíce Rukou;llm;svinstvu;;bitch
Destroyself;Neosymbolic;Dým a Čmoud;llm;k ďasu;;damn
Destroyself;Terrores Magicos;Daleko;static;svin;3;bitch
Destroyself;Terrores Magicos;Daleko;llm;svině;;bitch
Dukla Vozovna;Cvičná jízda;18;static;prdel;1;asshole
Dukla Vozovna;Cvičná jízda;18;llm;fuck;;fuck
Dukla Vozovna;Cvičná jízda;18;llm;shit;;shit
Dukla Vozovna;Cvičná jízda;Dukla vozovna;llm;seru;;shit
Dukla Vozovna;Cvičná jízda;Hovno;static;hajzl;2;asshole
Dukla Vozovna;Cvičná jízda;Hovno;static;sra;1;shit
Dukla Vozovna;Cvičná jízda;Hovno;llm;shit;;shit
Dukla Vozovna;Cvičná jízda;Proč;static;debil;1;bastard
Dukla Vozovna;Cvičná jízda;Proč;llm;sakra;;damn
Dukla Vozovna;Cvičná jízda;Šesnácky;llm;fuck;;fuck
Dukla Vozovna;Cvičná jízda;Šesnácky;llm;shit;;shit
Dukla Vozovna;Cvičná jízda;Školáci;static;prdel;1;asshole
Dukla Vozovna;Cvičná jízda;Školáci;llm;shit;;shit
Dukla Vozovna;Cvičná jízda;Školáci;llm;fuck;;fuck
Dukla Vozovna;Mistři!;"""16"" (Nechte mě bejt)";llm;sere;;shit
Dukla Vozovna;Mistři!;Bijte mě do hlavy;static;kráv;1;bitch
Dukla Vozovna;Mistři!;Bijte mě do hlavy;static;debil;1;bastard
Dukla Vozovna;Mistři!;Bijte mě do hlavy;llm;vole;;other
Dukla Vozovna;Mistři!;Bijte mě do hlavy;llm;hovado;;shit
Dukla Vozovna;Mistři!;HomoHory;static;prdel;1;asshole
Dukla Vozovna;Mistři!;Kovi 2;llm;vole;;other
Dukla Vozovna;Mistři!;Malý muž;static;kurv;1;fuck
Dukla Vozovna;Mistři!;Malý muž;llm;fuck;;fuck
Dukla Vozovna;Mistři!;Malý muž;llm;shit;;shit
Dukla Vozovna;Mistři!;Nedrbejte špínu;llm;fuck;;fuck
Dukla Vozovna;Mistři!;Nedrbejte špínu;llm;shit;;shit
Dukla Vozovna;Mistři!;Nedrbejte špínu;llm;bastard;;bastard
Dukla Vozovna;Mistři!;Slepice;static;pic;3;asshole
Dukla Vozovna;Mistři!;Trpaslíci;static;pic;1;asshole
Dukla Vozovna;Mistři!;Všechno se změnilo;static;prdel;1;asshole
Dukla Vozovna;Mistři!;Všechno se změnilo;static;kráv;1;bitch
Dukla Vozovna;Mistři!;Všechno se změnilo;llm;prdel;;asshole
Dukla Vozovna;Mistři!;Všechno se změnilo;llm;keci;;other
Dukla Vozovna;Prášek proti smrti;Dva Němci původem ze Švýcarska;static;sra;1;shit
Dukla Vozovna;Prášek proti smrti;Kapela;static;sra;1;shit
Dukla Vozovna;Prášek proti smrti;Panáček;llm;hovada;;shit
Dukla Vozovna;Prášek proti smrti;Pulec;llm;fuck;;fuck
Dukla Vozovna;Zastávka svět;Dechovka;static;sra;1;shit
Dukla Vozovna;Zastávka svět;Dechovka;llm;fuck;;fuck
Dukla Vozovna;Zastávka svět;Dechovka;llm;shit;;shit
Dukla Vozovna;Zastávka svět;Hovna s háčkama;static;hovn;8;shit
Dukla Vozovna;Zastávka svět;Hovna s háčkama;llm;hovna;;shit
Dukla Vozovna;Zastávka svět;Kufr;llm;vykašlu se;;other
Dukla Vozovna;Zastávka svět;Línej;llm;fuck;;fuck
Dukla Vozovna;Zastávka svět;Línej;llm;shit;;shit
Dukla Vozovna;Zastávka svět;Posázaví;llm;shit;;shit
Dukla Vozovna;Zastávka svět;Posázaví;llm;damn;;damn
Dukla Vozovna;Zastávka svět;Salamandr;static;sra;1;shit
Dukla Vozovna;Zastávka svět;Salamandr;llm;shit;;shit
Dukla Vozovna;Zastávka svět;Salamandr;llm;hell;;damn
Dukla Vozovna;Zastávka svět;Tak pojď dál;static;sra;1;shit
Dukla Vozovna;Zastávka svět;Tak pojď dál;llm;fuck;;fuck
Dukla Vozovna;Zastávka svět;Tak pojď dál;llm;shit;;shit
E E;Děláme co můžem;O lásce;static;hajzl;1;asshole
E E;Děláme co můžem;O lásce;llm;hajzlu;;asshole
E E;Děláme co můžem;O Praze;llm;fuck;;fuck
E E;Děláme co můžem;O Praze;llm;shit;;shit
E E;Děláme co můžem;O sluníčku;llm;fuck;;fuck
E E;Děláme co můžem;O sluníčku;llm;shit;;shit
E E;Děláme co můžem;O varování ministra zdravotnictví;llm;damn;;damn
E E;Děláme co můžem;O všem;llm;shit;;shit
E E;Děláme co můžem;O všem;llm;fuck;;fuck
E E;Děláme co můžem;O životě;static;hovn;2;shit
E E;Děláme co můžem;O životě;llm;fuck;;fuck
E E;Děláme co můžem;O životě;llm;shit;;shit
E E;Děláme co můžem;Oudech;llm;hovada;;shit
E E;Deska;Hovno;static;hovn;12;shit
E E;Deska;Hovno;static;pic;1;asshole
E E;Deska;Hovno;llm;fuck;;fuck
E E;Deska;Humusák II;static;sra;1;shit
E E;Deska;Humusák II;llm;hujer;;idiot
E E;Deska;Indiáni;llm;fuck;;fuck
E E;Deska;Indiáni;llm;shit;;shit
E E;Deska;Indiáni;llm;bitch;;bitch
E E;Deska;Indiáni;llm;asshole;;asshole
E E;Deska;Indiáni;llm;bastard;;bastard
E E;Deska;Indiáni;llm;damn;;damn
E E;Deska;Indiáni;llm;hell;;damn
E E;Deska;Indiáni;llm;crap;;shit
E E;Deska;Indiáni;llm;cunt;;asshole
E E;Deska;Indiáni;llm;motherfucker;;fuck
E E;Deska;Mravenec;static;sra;1;shit
E E;Deska;Mravenec;llm;zasraná;;shit
E E;Deska;Sračky;static;sra;1;shit
E E;Deska;Sračky;static;kurv;3;fuck
E E;Deska;Sračky;static;svin;1;bitch
E E;Deska;Sračky;llm;fuck;;fuck
E E;Deska;Sračky;llm;shit;;shit
E E;Deska;Sračky;llm;hell;;damn
E E;Dvacet pe!ecek + bonus;Hujer;static;sra;3;shit
E E;Dvacet pe!ecek + bonus;Hujer;llm;hujer;;idiot
E E;Dvacet pe!ecek + bonus;Hujer;llm;fízle;;other
E E;Dvacet pe!ecek + bonus;Hujer;llm;vůl;;idiot
E E;Dvacet pe!ecek + bonus;Indiáni;llm;vožerou;;alcohol_drugs
E E;Dvacet pe!ecek + bonus;Indiáni;llm;servou;;shit
E E;Dvacet pe!ecek + bonus;Kapavka;llm;shit;;shit
E E;Dvacet pe!ecek + bonus;Kapavka;llm;fuck;;fuck
E E;Dvacet pe!ecek + bonus;Míša;static;prdel;1;asshole
E E;Dvacet pe!ecek + bonus;Míša;llm;prdele;;asshole
E E;Dvacet pe!ecek + bonus;Míša;llm;pod psa;;other
E E;Dvacet pe!ecek + bonus;Nasrana;static;sra;8;shit
E E;Dvacet pe!ecek + bonus;Nasrana;llm;fuck;;fuck
E E;Dvacet pe!ecek + bonus;Nic novýho nerozjíždět;llm;shit;;shit
E E;Dvacet pe!ecek + bonus;O králi;llm;gauner;;other
E E;Dvacet pe!ecek + bonus;O lásce;static;hajzl;1;asshole
E E;Dvacet pe!ecek + bonus;O lásce;llm;hajzlu;;asshole
E E;Dvacet pe!ecek + bonus;O všem;llm;fuck;;fuck
E E;Dvacet pe!ecek + bonus;O životě;static;hovn;2;shit
E E;Dvacet pe!ecek + bonus;O životě;llm;fuck;;fuck
E E;Dvacet pe!ecek + bonus;O životě;llm;shit;;shit
E E;Dvacet pe!ecek + bonus;Pelikáni;static;prdel;1;asshole
E E;Dvacet pe!ecek + bonus;Poslouchej;static;prdel;1;asshole
E E;Dvacet pe!ecek + bonus;Poslouchej;llm;fuck;;fuck
E E;E!E 0001;Jsem proti;static;sra;1;shit
E E;E!E 0001;Jsem proti;llm;seru;;shit
E E;E!E 0001;Kapavka;llm;hnusná;;disgust
E E;E!E 0001;Krásná holka;static;debil;1;bastard
E E;E!E 0001;Krásná holka;static;kurv;1;fuck
E E;E!E 0001;Krásná holka;llm;kurva;;fuck
E E;E!E 0001;Kretén hop;static;prdel;2;asshole
E E;E!E 0001;Kretén hop;llm;prdele;;asshole
E E;E!E 0001;Naštvaná;static;sra;12;shit
E E;E!E 0001;Naštvaná;llm;nasrat;;shit
E E;E!E 0001;Nic novýho nerozjíždět;llm;srát;;shit
E E;E!E 0001;Nic novýho nerozjíždět;llm;chcát;;other
E E;Lepší už to nebude;ABA-16-01;llm;fuck;;fuck
E E;Lepší už to nebude;ABA-16-01;llm;shit;;shit
E E;Lepší už to nebude;Brigáda;static;kráv;1;bitch
E E;Lepší už to nebude;Brigáda;llm;kráva;;bitch
E E;Lepší už to nebude;Ewrybády;static;fuck;1;fuck
E E;Lepší už to nebude;Ewrybády;static;prdel;1;asshole
E E;Lepší už to nebude;Ewrybády;llm;fuck;;fuck
E E;Lepší už to nebude;Mravenec;static;sra;1;shit
E E;Lepší už to nebude;Mravenec;llm;zasraná;;shit
E E;Lepší už to nebude;Pohoda;llm;fuck;;fuck
E E;Lepší už to nebude;Veka;llm;damn;;damn
E E;Mrtvák;Brečím;static;debil;1;bastard
E E;Mrtvák;Brečím;llm;seru;;shit
E E;Mrtvák;Číro;static;svin;14;bitch
E E;Mrtvák;Číro;llm;svině;;bitch
E E;Mrtvák;Hujer;static;sra;3;shit
E E;Mrtvák;Hujer;llm;fuck;;fuck
E E;Mrtvák;Jsem proti;static;sra;1;shit
E E;Mrtvák;Jsem proti;llm;seru;;shit
E E;Mrtvák;Kufříček;static;hovn;1;shit
E E;Mrtvák;Kufříček;llm;fuck;;fuck
E E;Mrtvák;Kufříček;llm;shit;;shit
E E;Mrtvák;Kufříček;llm;damn;;damn
E E;Mrtvák;Kufříček;llm;hell;;damn
E E;Mrtvák;Na dvě;static;prdel;2;asshole
E E;Mrtvák;Na dvě;llm;shit;;shit
E E;Mrtvák;Nezívej;llm;serou;;shit
E E;Mrtvák;Pelikáni;static;prdel;1;asshole
E E;Mrtvák;Poslouchej;static;prdel;1;asshole
E E;Mrtvák;Poslouchej;llm;fuck;;fuck
E E;Mrtvák;Poslouchej;llm;shit;;shit
E E;Mrtvák;Poslouchej;llm;damn;;damn
Elektrïck Mann;Kokar pičkan;Fidel Castro;static;prdel;1;asshole
Elektrïck Mann;Kokar pičkan;Fidel Castro;llm;fuck;;fuck
Elektrïck Mann;Kokar pičkan;Fidel Castro;llm;shit;;shit
Elektrïck Mann;Kokar pičkan;Fidel Castro;llm;bastard;;bastard
Elektrïck Mann;Kokar pičkan;Hradní Svíce;static;píč;1;asshole
Elektrïck Mann;Kokar pičkan;Hradní Svíce;static;svin;1;bitch
Elektrïck Mann;Kokar pičkan;Hradní Svíce;llm;fuck;;fuck
Elektrïck Mann;Kokar pičkan;Hradní Svíce;llm;shit;;shit
Elektrïck Mann;Kokar pičkan;Hradní Svíce;llm;bitch;;bitch
Elektrïck Mann;Kokar pičkan;Igelit;static;dick;1;asshole
Elektrïck Mann;Kokar pičkan;Igelit;static;kurv;1;fuck
Elektrïck Mann;Kokar pičkan;Igelit;llm;fuck;;fuck
Elektrïck Mann;Kokar pičkan;Igelit;llm;shit;;shit
Elektrïck Mann;Kokar pičkan;Igelit;llm;bitch;;bitch
Elektrïck Mann;Kokar pičkan;Igelit;llm;damn;;damn
Elektrïck Mann;Kokar pičkan;Já Jsem Tě Nechtěl Bít;static;kurv;1;fuck
Elektrïck Mann;Kokar pičkan;Já Jsem Tě Nechtěl Bít;llm;kurvo;;fuck
Elektrïck Mann;Kokar pičkan;Jak Si Ji šukal;static;kurv;5;fuck
Elektrïck Mann;Kokar pičkan;Jak Si Ji šukal;static;prdel;3;asshole
Elektrïck Mann;Kokar pičkan;Jak Si Ji šukal;llm;fuck;;fuck
Elektrïck Mann;Kokar pičkan;Jak Si Ji šukal;llm;shit;;shit
Elektrïck Mann;Kokar pičkan;Jak Si Ji šukal;llm;bitch;;bitch
Elektrïck Mann;Kokar pičkan;Jak Si Ji šukal;llm;asshole;;asshole
Elektrïck Mann;Kokar pičkan;Jak Si Ji šukal;llm;bastard;;bastard
Elektrïck Mann;Kokar pičkan;Jak Si Ji šukal;llm;damn;;damn
Elektrïck Mann;Kokar pičkan;Jak Si Ji šukal;llm;hell;;damn
Elektrïck Mann;Kokar pičkan;Jak Si Ji šukal;llm;crap;;shit
Elektrïck Mann;Kokar pičkan;Jak Si Ji šukal;llm;cunt;;asshole
Elektrïck Mann;Kokar pičkan;Jak Si Ji šukal;llm;motherfucker;;fuck
Elektrïck Mann;Kokar pičkan;Jarcová;llm;fuck;;fuck
Elektrïck Mann;Kokar pičkan;Jarcová;llm;shit;;shit
Elektrïck Mann;Kokar pičkan;Jdi Do Hajzlu;static;fuck;3;fuck
Elektrïck Mann;Kokar pičkan;Jdi Do Hajzlu;static;hajzl;9;asshole
Elektrïck Mann;Kokar pičkan;Jdi Do Hajzlu;static;kurv;1;fuck
Elektrïck Mann;Kokar pičkan;Jdi Do Hajzlu;llm;fuck;;fuck
Elektrïck Mann;Kokar pičkan;Jdi Do Hajzlu;llm;kurva;;fuck
Elektrïck Mann;Kokar pičkan;Jdi Do Hajzlu;llm;mrdám;;fuck
Elektrïck Mann;Kokar pičkan;Kokain;static;píč;1;asshole
