band;album;song;emotion
A bude hůř;Vovar mezi uschima;Proti Všem?;frustration
A bude hůř;Vovar mezi uschima;Proti Všem?;hopelessness
A bude hůř;Vovar mezi uschima;Sledujeme TV;anger
A bude hůř;Vovar mezi uschima;Sledujeme TV;frustration
A bude hůř;Vovar mezi uschima;Sledujeme TV;aggression
A bude hůř;Vovar mezi uschima;Sledujeme TV;irony
A bude hůř;Vovar mezi uschima;Sodomie Na Vsi;anger
A bude hůř;Vovar mezi uschima;Sodomie Na Vsi;aggression
A bude hůř;Vovar mezi uschima;Sodomie Na Vsi;joy
A bude hůř;Vovar mezi uschima;Světlana;sadness
A bude hůř;Vovar mezi uschima;Světlana;fear
A bude hůř;Vovar mezi uschima;Světlana;hopelessness
A bude hůř;Vovar mezi uschima;Světlana;anger
A bude hůř;Vovar mezi uschima;Unesli Jsme Letadlo;anger
A bude hůř;Vovar mezi uschima;Unesli Jsme Letadlo;aggression
A bude hůř;Vovar mezi uschima;Unesli Jsme Letadlo;joy
A bude hůř;Vovar mezi uschima;Vlk V Ovčíně;anger
A bude hůř;Vovar mezi uschima;Vlk V Ovčíně;frustration
A bude hůř;Vovar mezi uschima;Vlk V Ovčíně;hopelessness
A bude hůř;Vovar mezi uschima;Za Minimální Peníz Jak Zvětšit Si Svůj Penis;frustration
A bude hůř;Vovar mezi uschima;Za Minimální Peníz Jak Zvětšit Si Svůj Penis;fear
A bude hůř;Vovar mezi uschima;Za Minimální Peníz Jak Zvětšit Si Svůj Penis;irony
Čertůf punk;Fucking World;Blind street;anger
Čertůf punk;Fucking World;Blind street;frustration
Čertůf punk;Fucking World;Blind street;hopelessness
Čertůf punk;Fucking World;Brutal world;anger
Čertůf punk;Fucking World;Brutal world;hopelessness
Čertůf punk;Fucking World;Brutal world;aggression
Čertůf punk;Fucking World;Brutal world;frustration
Čertůf punk;Fucking World;Fucking Country;anger
Čertůf punk;Fucking World;Fucking Country;sadness
Čertůf punk;Fucking World;Fucking Country;frustration
Čertůf punk;Fucking World;Fucking Country;hopelessness
Čertůf punk;Fucking World;Jesus is dead;anger
Čertůf punk;Fucking World;Jesus is dead;frustration
Čertůf punk;Fucking World;Jesus is dead;fear
Čertůf punk;Fucking World;Jesus is dead;aggression
Čertůf punk;Fucking World;Loutka;anger
Čertůf punk;Fucking World;Loutka;frustration
Čertůf punk;Fucking World;Loutka;aggression
Čertůf punk;Fucking World;Loutka;irony
Čertůf punk;Fucking World;Parlament;anger
Čertůf punk;Fucking World;Parlament;frustration
Čertůf punk;Fucking World;Parlament;aggression
Čertůf punk;Fucking World;Stupid army dream;anger
Čertůf punk;Fucking World;Stupid army dream;frustration
Čertůf punk;Fucking World;Stupid army dream;aggression
Čertůf punk;Fucking World;Válka;anger
Čertůf punk;Fucking World;Válka;frustration
Čertůf punk;Fucking World;Válka;hopelessness
Čertůf punk;Fucking World;Varieté;anger
Čertůf punk;Fucking World;Varieté;frustration
Čertůf punk;Fucking World;Varieté;hopelessness
Čertůf punk;Fucking World;Varieté;sadness
Čertůf punk;Fucking World;Volby;anger
Čertůf punk;Fucking World;Volby;frustration
Čertůf punk;Fucking World;Volby;aggression
Čertůf punk;Fucking World;Volby;irony
Čertůf punk;No Future;Co ti zbylo;anger
Čertůf punk;No Future;Co ti zbylo;frustration
Čertůf punk;No Future;Co ti zbylo;hopelessness
Čertůf punk;No Future;Co ti zbylo;aggression
Čertůf punk;No Future;Hovno v hlavě;anger
Čertůf punk;No Future;Hovno v hlavě;frustration
Čertůf punk;No Future;Hovno v hlavě;aggression
Čertůf punk;No Future;Kvín;anger
Čertůf punk;No Future;Kvín;aggression
Čertůf punk;No Future;Kvín;frustration
Čertůf punk;No Future;Máš strach;anger
Čertůf punk;No Future;Máš strach;aggression
Čertůf punk;No Future;Na řetězu;anger
Čertůf punk;No Future;Na řetězu;frustration
Čertůf punk;No Future;Na řetězu;hopelessness
Čertůf punk;No Future;No future;anger
Čertůf punk;No Future;No future;frustration
Čertůf punk;No Future;No future;hopelessness
Čertůf punk;No Future;Police song;anger
Čertůf punk;No Future;Police song;aggression
Čertůf punk;No Future;Police song;frustration
Čertůf punk;No Future;Politika;anger
Čertůf punk;No Future;Politika;frustration
Čertůf punk;No Future;Politika;aggression
Čertůf punk;No Future;Politika;hopelessness
Čertůf punk;No Future;Realita;anger
Čertůf punk;No Future;Realita;frustration
Čertůf punk;No Future;Realita;hopelessness
Čertůf punk;No Future;To snad ne;anger
Čertůf punk;No Future;To snad ne;frustration
Čertůf punk;No Future;To snad ne;hopelessness
Čertůf punk;No Future;Vězení;anger
Čertůf punk;No Future;Vězení;frustration
Čertůf punk;No Future;Vězení;hopelessness
Čertůf punk;Stejnej bordel;Bordel v bordelu;anger
Čertůf punk;Stejnej bordel;Bordel v bordelu;frustration
Čertůf punk;Stejnej bordel;Bordel v bordelu;hopelessness
Čertůf punk;Stejnej bordel;Hnusný lidi;anger
Čertůf punk;Stejnej bordel;Hnusný lidi;frustration
Čertůf punk;Stejnej bordel;Hnusný lidi;hopelessness
Čertůf punk;Stejnej bordel;Hunky punki;frustration
Čertůf punk;Stejnej bordel;Hunky punki;anger
Čertůf punk;Stejnej bordel;Love song;frustration
Čertůf punk;Stejnej bordel;Love song;anger
Čertůf punk;Stejnej bordel;Love song;aggression
Čertůf punk;Stejnej bordel;Nebuď měkej;anger
Čertůf punk;Stejnej bordel;Nebuď měkej;aggression
Čertůf punk;Stejnej bordel;Nebuď měkej;frustration
Čertůf punk;Stejnej bordel;Práce - Fuck Off;anger
Čertůf punk;Stejnej bordel;Práce - Fuck Off;frustration
Čertůf punk;Stejnej bordel;Práce - Fuck Off;hopelessness
Čertůf punk;Stejnej bordel;Předehra;anger
Čertůf punk;Stejnej bordel;Předehra;frustration
Čertůf punk;Stejnej bordel;Předehra;hopelessness
Čertůf punk;Stejnej bordel;Revoluce;anger
Čertůf punk;Stejnej bordel;Revoluce;frustration
Čertůf punk;Stejnej bordel;Revoluce;hopelessness
Čertůf punk;Stejnej bordel;Scandal;anger
Čertůf punk;Stejnej bordel;Scandal;frustration
Čertůf punk;Stejnej bordel;Scandal;aggression
Čertůf punk;Stejnej bordel;Školení;anger
Čertůf punk;Stejnej bordel;Školení;frustration
Čertůf punk;Stejnej bordel;Školení;irony
Čertůf punk;Stejnej bordel;Stejnej bordel;anger
Čertůf punk;Stejnej bordel;Stejnej bordel;frustration
Čertůf punk;Stejnej bordel;Stejnej bordel;hopelessness
Čertůf punk;Stejnej bordel;Styll;anger
Čertůf punk;Stejnej bordel;Styll;frustration
Čertůf punk;Stejnej bordel;Styll;aggression
Čertůf punk;Stejnej bordel;Styll;confidence
Čertůf punk;Stejnej bordel;Zabíjící;sadness
Čertůf punk;Stejnej bordel;Zabíjící;frustration
Čertůf punk;Stejnej bordel;Zabíjící;hopelessness
Čertůf punk;Stejnej bordel;Zamrdej si;frustration
Čertůf punk;Stejnej bordel;Zamrdej si;hopelessness
Čertůf punk;Stejnej bordel;Zamrdej si;aggression
Čertůf punk;Stejnej bordel;Zkurvenej den;anger
Čertůf punk;Stejnej bordel;Zkurvenej den;frustration
Čertůf punk;Stejnej bordel;Zkurvenej den;hopelessness
Čertůf punk;Stejnej bordel;Zkurvenej den;aggression
Civilní Obrana;Holku pevnou mít;Holku Pevnou Mít;frustration
Civilní Obrana;Holku pevnou mít;Holku Pevnou Mít;confidence
Civilní Obrana;Já, Civilka;Černá vrána;anger
Civilní Obrana;Já, Civilka;Černá vrána;frustration
Civilní Obrana;Já, Civilka;Černá vrána;hopelessness
Civilní Obrana;Já, Civilka;Nezapomenutelná;sadness
Civilní Obrana;Já, Civilka;Nezapomenutelná;nostalgia
Civilní Obrana;Já, Civilka;Nezapomenutelná;frustration
Civilní Obrana;Já, Civilka;Nezapomenutelná;hopelessness
Civilní Obrana;Já, Civilka;Opilá Princezna;anger
Civilní Obrana;Já, Civilka;Opilá Princezna;frustration
Civilní Obrana;Já, Civilka;Opilá Princezna;sadness
Civilní Obrana;Já, Civilka;Opilá Princezna;aggression
Civilní Obrana;Já, Civilka;S Tvojí Mámou;confidence
Civilní Obrana;Já, Civilka;S Tvojí Mámou;aggression
Civilní Obrana;Já, Civilka;S Tvojí Mámou;irony
Civilní Obrana;Já, Civilka;To Dokáže Chlap;confidence
Civilní Obrana;Já, Civilka;To Dokáže Chlap;irony
Civilní Obrana;Já, Civilka;To Dokáže Chlap;sarcasm
Civilní Obrana;Já, Civilka;Za Tebou;sadness
Civilní Obrana;Já, Civilka;Za Tebou;hopelessness
Civilní Obrana;Já, Civilka;Za Tebou;confidence
Civilní Obrana;Konkurz;Černá vrána;anger
Civilní Obrana;Konkurz;Černá vrána;frustration
Civilní Obrana;Konkurz;Černá vrána;hopelessness
Civilní Obrana;Konkurz;Hrdina;frustration
Civilní Obrana;Konkurz;Hrdina;confidence
Civilní Obrana;Konkurz;Hrdina;irony
Civilní Obrana;Konkurz;Hvězda;sadness
Civilní Obrana;Konkurz;Hvězda;hopelessness
Civilní Obrana;Konkurz;Hvězda;confidence
Civilní Obrana;Konkurz;Hvězda;joy
Civilní Obrana;Konkurz;Kino;frustration
Civilní Obrana;Konkurz;Kino;sadness
Civilní Obrana;Konkurz;Kino;hopelessness
Civilní Obrana;Konkurz;Musím jít;sadness
Civilní Obrana;Konkurz;Musím jít;hopelessness
Civilní Obrana;Konkurz;Musím jít;aggression
Civilní Obrana;Konkurz;Musím jít;frustration
Civilní Obrana;Konkurz;Nezapomenutelná;sadness
Civilní Obrana;Konkurz;Nezapomenutelná;nostalgia
Civilní Obrana;Konkurz;Nezapomenutelná;frustration
Civilní Obrana;Konkurz;Obvyklý rána;joy
Civilní Obrana;Konkurz;Obvyklý rána;hopefulness
Civilní Obrana;Konkurz;Obvyklý rána;contentment
Civilní Obrana;Konkurz;Pojď si se mnou hrát;sadness
Civilní Obrana;Konkurz;Pojď si se mnou hrát;frustration
Civilní Obrana;Konkurz;Pojď si se mnou hrát;hopelessness
Civilní Obrana;Konkurz;Pojď si se mnou hrát;fear
Civilní Obrana;Konkurz;Pojď si se mnou hrát;aggression
Civilní Obrana;Konkurz;Pravda holá;anger
Civilní Obrana;Konkurz;Pravda holá;frustration
Civilní Obrana;Konkurz;Pravda holá;hopelessness
Civilní Obrana;Konkurz;Sem takovej;joy
Civilní Obrana;Konkurz;Sem takovej;frustration
Civilní Obrana;Konkurz;Sem takovej;confidence
Civilní Obrana;Konkurz;Strach;fear
Civilní Obrana;Konkurz;Strach;aggression
Civilní Obrana;Konkurz;Strach;hopelessness
Civilní Obrana;Konkurz;Zvracel;frustration
Civilní Obrana;Konkurz;Zvracel;anger
Civilní Obrana;Loterie;Jinou Cestou;sadness
Civilní Obrana;Loterie;Jinou Cestou;frustration
Civilní Obrana;Loterie;Lehká;anger
Civilní Obrana;Loterie;Lehká;frustration
Civilní Obrana;Loterie;Máma;sadness
Civilní Obrana;Loterie;Máma;frustration
Civilní Obrana;Loterie;Máma;love
Civilní Obrana;Loterie;Máma;hopelessness
Civilní Obrana;Loterie;Musím jít;sadness
Civilní Obrana;Loterie;Musím jít;hopelessness
Civilní Obrana;Loterie;Musím jít;frustration
Civilní Obrana;Loterie;Opilá Princezna;sadness
Civilní Obrana;Loterie;Opilá Princezna;frustration
Civilní Obrana;Loterie;Opilá Princezna;hopelessness
Civilní Obrana;Loterie;Ruleta;hopelessness
Civilní Obrana;Loterie;Ruleta;sadness
Civilní Obrana;Loterie;Ruleta;fear
Civilní Obrana;Loterie;Scénář;hopelessness
Civilní Obrana;Loterie;Scénář;frustration
Civilní Obrana;Loterie;Všechno Nejlepší;nostalgia
Civilní Obrana;Loterie;Všechno Nejlepší;fear
Civilní Obrana;Loterie;Všechno Nejlepší;sadness
Civilní Obrana;Loterie;Všechno Nejlepší;hopelessness
Civilní Obrana;Loterie;Zabiják;anger
Civilní Obrana;Loterie;Zabiják;sadness
Civilní Obrana;Loterie;Zabiják;aggression
Civilní Obrana;Loterie;Zabiják;fear
Civilní Obrana;[So:Wa]?;Bonus;sadness
Civilní Obrana;[So:Wa]?;Bonus;frustration
Civilní Obrana;[So:Wa]?;Bonus;hopelessness
Civilní Obrana;[So:Wa]?;Bonus;aggression
Civilní Obrana;[So:Wa]?;Droga;confidence
Civilní Obrana;[So:Wa]?;Droga;frustration
Civilní Obrana;[So:Wa]?;Droga;anger
Civilní Obrana;[So:Wa]?;Namyšlenej;frustration
Civilní Obrana;[So:Wa]?;Namyšlenej;hopelessness
Civilní Obrana;[So:Wa]?;Namyšlenej;sadness
Civilní Obrana;[So:Wa]?;Podvedená;sadness
Civilní Obrana;[So:Wa]?;Podvedená;hopelessness
Civilní Obrana;[So:Wa]?;Podvedená;frustration
Civilní Obrana;[So:Wa]?;Sen;sadness
Civilní Obrana;[So:Wa]?;Sen;frustration
Civilní Obrana;[So:Wa]?;Sen;hopelessness
Civilní Obrana;[So:Wa]?;To Stačí;sadness
Civilní Obrana;[So:Wa]?;To Stačí;fear
Civilní Obrana;[So:Wa]?;To Stačí;hopelessness
Civilní Obrana;[So:Wa]?;To Stačí;frustration
Civilní Obrana;Za Tebou;Za Tebou;sadness
Civilní Obrana;Za Tebou;Za Tebou;frustration
Civilní Obrana;Za Tebou;Za Tebou;hopelessness
Civilní Obrana;Zlatá deska;Holku Pevnou Mít;frustration
Civilní Obrana;Zlatá deska;Holku Pevnou Mít;confidence
Civilní Obrana;Zlatá deska;Holku Pevnou Mít;irony
Civilní Obrana;Zlatá deska;I Like Mrkvička;joy
Civilní Obrana;Zlatá deska;I Like Mrkvička;confidence
Civilní Obrana;Zlatá deska;I Like Mrkvička;hopelessness
Civilní Obrana;Zlatá deska;Kytarová Muzika;confidence
Civilní Obrana;Zlatá deska;Kytarová Muzika;nostalgia
Civilní Obrana;Zlatá deska;Kytarová Muzika;joy
Civilní Obrana;Zlatá deska;Nezapomenutelná;sadness
Civilní Obrana;Zlatá deska;Nezapomenutelná;nostalgia
Civilní Obrana;Zlatá deska;Nezapomenutelná;regret
Civilní Obrana;Zlatá deska;Nic Nebude Jinak;hopelessness
Civilní Obrana;Zlatá deska;Nic Nebude Jinak;confidence
Civilní Obrana;Zlatá deska;Nic Nebude Jinak;sadness
Civilní Obrana;Zlatá deska;S Tvojí Mámou;joy
Civilní Obrana;Zlatá deska;S Tvojí Mámou;aggression
Civilní Obrana;Zlatá deska;S Tvojí Mámou;sarcasm
Civilní Obrana;Zlatá deska;To Dokáže Chlap;irony
Civilní Obrana;Zlatá deska;To Dokáže Chlap;sarcasm
Civilní Obrana;Zlatá deska;To Dokáže Chlap;confidence
Civilní Obrana;Zlatá deska;To Dokáže Chlap;aggression
Civilní Obrana;Zlatá deska;Vstávej!;anger
Civilní Obrana;Zlatá deska;Vstávej!;hopelessness
Civilní Obrana;Zlatá deska;Vstávej!;confidence
Civilní Obrana;Zlatá deska;Vstávej!;aggression
Civilní Obrana;Zlatá deska;Za Tebou;sadness
Civilní Obrana;Zlatá deska;Za Tebou;hopelessness
Civilní Obrana;Zlatá deska;Za Tebou;loneliness
Destroyself;4 Promile Tribut;Cestou nenásilí;anger
Destroyself;4 Promile Tribut;Cestou nenásilí;aggression
Destroyself;4 Promile Tribut;Cestou nenásilí;irony
Destroyself;4 Promile Tribut;Hrozič;anger
Destroyself;4 Promile Tribut;Hrozič;fear
Destroyself;4 Promile Tribut;Hrozič;aggression
Destroyself;4 Promile Tribut;Mikulášova pomsta;anger
Destroyself;4 Promile Tribut;Mikulášova pomsta;frustration
Destroyself;4 Promile Tribut;Mikulášova pomsta;fear
Destroyself;4 Promile Tribut;Mikulášova pomsta;aggression
Destroyself;4 Promile Tribut;Překvapení;anger
Destroyself;4 Promile Tribut;Překvapení;frustration
Destroyself;4 Promile Tribut;Skřítek;anger
Destroyself;4 Promile Tribut;Skřítek;aggression
Destroyself;4 Promile Tribut;Skřítek;fear
Destroyself;4 Promile Tribut;Skřítek;sarcasm
Destroyself;4 Promile Tribut;Timur;anger
Destroyself;4 Promile Tribut;Timur;aggression
Destroyself;4 Promile Tribut;Timur;hopelessness
Destroyself;4 Promile Tribut;Vzpoura celeru;anger
Destroyself;4 Promile Tribut;Vzpoura celeru;frustration
Destroyself;4 Promile Tribut;Vzpoura celeru;hopelessness
Destroyself;Deštivá Ulice;Deštivá ulice;sadness
Destroyself;Deštivá Ulice;Deštivá ulice;frustration
Destroyself;Deštivá Ulice;Deštivá ulice;hopelessness
Destroyself;Deštivá Ulice;Dobrej Al Negro;joy
Destroyself;Deštivá Ulice;Dobrej Al Negro;nostalgia
Destroyself;Deštivá Ulice;Kámoši od známý zdi;sadness
Destroyself;Deštivá Ulice;Kámoši od známý zdi;hopelessness
Destroyself;Deštivá Ulice;Kámoši od známý zdi;frustration
Destroyself;Deštivá Ulice;Mikulášova pomsta;anger
Destroyself;Deštivá Ulice;Mikulášova pomsta;fear
Destroyself;Deštivá Ulice;Mikulášova pomsta;hopelessness
Destroyself;Deštivá Ulice;Mikulášova pomsta;sadness
Destroyself;Deštivá Ulice;Mikulášova pomsta;frustration
Destroyself;Deštivá Ulice;V hodinách mimo čas;sadness
Destroyself;Deštivá Ulice;V hodinách mimo čas;fear
Destroyself;Deštivá Ulice;V hodinách mimo čas;hopelessness
Destroyself;Destroyself;Černí ptáci;anger
Destroyself;Destroyself;Černí ptáci;hopelessness
Destroyself;Destroyself;Černí ptáci;frustration
Destroyself;Destroyself;Ďáblova sestřenice;frustration
Destroyself;Destroyself;Ďáblova sestřenice;hopelessness
Destroyself;Destroyself;Emoce monstra;sadness
Destroyself;Destroyself;Emoce monstra;hopelessness
Destroyself;Destroyself;Emoce monstra;frustration
Destroyself;Destroyself;Fajl ekskluzif;anger
Destroyself;Destroyself;Fajl ekskluzif;frustration
Destroyself;Destroyself;Fajl ekskluzif;aggression
Destroyself;Destroyself;Fajl ekskluzif;confidence
Destroyself;Destroyself;Max II.;anger
Destroyself;Destroyself;Max II.;sadness
Destroyself;Destroyself;Max II.;hopelessness
Destroyself;Destroyself;Max II.;fear
Destroyself;Destroyself;Pěsti ve tmě;anger
Destroyself;Destroyself;Pěsti ve tmě;frustration
Destroyself;Destroyself;Pěsti ve tmě;aggression
Destroyself;Destroyself;Pohlednice ze Seattlu;sadness
Destroyself;Destroyself;Pohlednice ze Seattlu;frustration
Destroyself;Destroyself;Pohlednice ze Seattlu;hopelessness
Destroyself;Destroyself;Pohlednice ze Seattlu;nostalgia
Destroyself;Destroyself;Polib mě a zabij;anger
Destroyself;Destroyself;Polib mě a zabij;aggression
Destroyself;Destroyself;Polib mě a zabij;frustration
Destroyself;Destroyself;To neřež;anger
Destroyself;Destroyself;To neřež;sadness
Destroyself;Destroyself;To neřež;aggression
Destroyself;Destroyself;To neřež;irony
Destroyself;Destroyself;Už jdou;fear
Destroyself;Destroyself;Už jdou;aggression
Destroyself;Destroyself;Už jdou;hopelessness
Destroyself;Destroyself;V Deštivý ulici je vrah;fear
Destroyself;Destroyself;V Deštivý ulici je vrah;aggression
Destroyself;Destroyself;V Deštivý ulici je vrah;sadness
Destroyself;Kontrolujou;Generation Next;anger
Destroyself;Kontrolujou;Generation Next;frustration
Destroyself;Kontrolujou;Generation Next;hopelessness
